Time,C0,C1,C2
26.43,583,687,524
26.46,594,693,532
26.49,584,689,529
26.53,581,686,523
26.56,584,688,525
26.59,599,698,537
26.62,583,688,527
26.65,581,686,523
26.69,585,688,526
26.72,582,701,541
26.75,582,688,525
26.78,581,686,523
26.82,585,688,526
26.85,585,674,542
26.88,582,687,525
26.91,581,686,523
26.94,586,689,526
26.98,591,675,539
27.01,582,687,525
27.04,582,687,523
27.07,587,689,527
27.11,590,684,508
27.14,581,687,524
27.17,580,686,522
27.20,586,688,526
27.23,588,692,517
27.27,581,687,523
27.30,581,686,523
27.33,586,689,526
27.36,590,688,528
27.40,581,687,524
27.43,581,686,522
27.46,585,688,525
27.49,584,699,541
27.53,581,687,525
27.56,580,686,522
27.59,583,687,524
27.62,598,696,535
27.65,583,689,527
27.69,581,686,522
27.72,583,687,524
27.75,592,692,530
27.78,585,692,533
27.81,581,687,524
27.85,582,687,523
27.88,588,690,528
27.91,589,695,509
27.94,581,687,524
27.98,582,687,523
28.01,587,689,527
28.04,591,686,519
28.07,582,687,525
28.11,582,687,524
28.14,587,689,527
28.17,589,688,512
28.20,581,687,524
28.23,582,687,523
28.27,588,690,529
28.30,589,694,531
28.33,581,687,524
28.36,582,687,524
28.40,589,690,528
28.43,587,693,531
28.46,581,686,523
28.49,582,686,523
28.52,590,690,529
28.56,586,692,532
28.59,581,686,523
28.62,582,687,523
28.65,592,692,530
28.69,584,690,530
28.72,581,686,523
28.75,583,687,524
28.78,595,694,533
28.81,583,689,528
28.85,581,686,523
28.88,584,688,525
28.91,598,699,536
28.94,583,689,527
28.98,581,686,523
29.01,585,689,526
29.04,569,703,542
29.07,582,688,525
29.11,582,687,523
29.14,586,689,526
29.17,581,689,538
29.20,582,688,525
29.23,582,687,523
29.27,587,690,528
29.30,589,695,533
29.33,582,687,524
29.36,583,687,524
29.39,592,692,530
29.43,585,691,530
29.46,582,687,523
29.49,584,688,525
29.52,598,699,537
29.56,583,688,526
29.59,582,687,524
29.62,587,689,527
29.65,591,684,513
29.68,582,687,524
29.72,583,687,524
29.75,593,693,532
29.78,585,691,530
29.81,582,687,524
29.85,585,689,526
29.88,579,701,542
29.91,583,688,525
29.94,583,687,524
29.98,589,690,529
30.01,589,694,535
30.04,583,687,524
30.07,585,688,525
30.10,601,700,540
30.14,584,689,526
30.17,583,688,524
30.20,590,691,530
30.23,587,692,531
30.27,583,687,524
30.30,586,689,527
30.33,588,681,529
30.36,583,688,525
30.39,584,688,525
30.43,596,695,534
30.46,584,689,527
30.49,583,687,524
30.52,589,691,530
30.56,585,691,529
30.59,582,687,523
30.62,586,689,527
30.65,590,695,534
30.68,582,687,523
30.72,584,688,525
30.75,598,699,537
30.78,583,689,526
30.81,582,687,524
30.85,587,689,527
30.88,592,681,522
30.91,582,687,524
30.94,583,687,524
30.98,590,691,529
31.01,588,694,536
31.04,583,688,524
31.07,584,688,525
31.10,591,692,530
31.14,589,695,537
31.17,583,688,525
31.20,584,688,525
31.23,590,691,529
31.26,591,696,513
31.30,583,688,526
31.33,584,688,525
31.36,589,691,529
31.39,594,675,543
31.43,584,689,527
31.46,583,688,525
31.49,588,690,528
31.52,575,703,543
31.55,584,689,527
31.59,583,688,524
31.62,586,689,527
31.65,599,703,540
31.68,585,690,528
31.72,583,688,525
31.75,586,689,526
31.78,599,697,535
31.81,586,691,531
31.85,583,688,525
31.88,585,688,526
31.91,597,695,533
31.94,587,691,532
31.97,583,688,525
32.01,585,689,526
32.04,597,695,534
32.07,586,691,531
32.10,583,687,524
32.14,584,688,525
32.17,596,694,533
32.20,585,691,531
32.23,582,687,524
32.27,583,687,524
32.30,591,691,529
32.33,589,695,514
32.36,583,687,525
32.39,583,687,523
32.43,587,689,526
32.46,567,702,539
32.49,585,690,529
32.52,582,687,524
32.56,584,688,524
32.59,591,691,527
32.62,591,685,510
32.65,583,688,523
32.68,583,687,521
32.72,585,689,523
32.75,597,695,530
32.78,587,693,533
32.81,583,687,522
32.85,583,687,521
32.88,586,689,524
32.91,597,699,533
32.94,585,691,528
32.97,583,687,522
33.01,584,687,521
33.04,589,690,525
33.07,592,695,541
33.10,584,689,525
33.13,582,687,521
33.17,584,688,522
33.20,591,691,526
33.23,592,675,535
33.26,584,689,524
33.30,583,687,521
33.33,585,688,522
33.36,591,691,526
33.39,590,673,538
33.43,584,689,525
33.46,583,687,522
33.49,584,688,522
33.52,589,690,525
33.55,573,702,538
33.59,585,691,528
33.62,584,688,523
33.65,585,688,523
33.68,589,690,527
33.72,585,703,542
33.75,585,690,528
33.78,584,688,522
33.81,586,688,523
33.85,593,692,528
33.88,591,694,513
33.91,584,689,523
33.94,584,688,522
33.97,587,689,524
34.01,602,700,535
34.04,586,691,528
34.07,584,688,522
34.10,585,688,522
34.13,591,691,527
34.17,592,692,530
34.20,583,688,522
34.23,583,687,520
34.26,585,688,522
34.30,596,693,528
34.33,588,694,513
34.36,583,688,522
34.39,583,687,520
34.42,585,688,522
34.46,593,691,526
34.49,591,681,528
34.52,584,689,524
34.55,583,687,521
34.59,585,688,521
34.62,589,690,524
34.65,573,701,537
34.68,585,690,527
34.72,583,687,521
34.75,584,687,521
34.78,588,689,523
34.81,599,699,532
34.84,587,692,532
34.88,584,688,522
34.91,584,687,521
34.94,587,689,523
34.97,596,693,528
35.01,590,694,518
35.04,584,689,524
35.07,584,687,521
35.10,585,688,522
35.13,591,691,525
35.17,589,699,540
35.20,585,690,526
35.23,584,687,521
35.26,585,688,521
35.30,589,690,524
35.33,599,700,536
35.36,586,692,532
35.39,584,688,524
35.42,584,687,524
35.46,587,689,525
35.49,597,694,530
35.52,591,696,515
35.55,585,689,527
35.59,584,688,524
35.62,586,689,525
35.65,592,691,528
35.68,592,703,541
35.72,586,691,530
35.75,584,688,525
35.78,585,688,524
35.81,589,690,527
35.84,602,698,534
35.88,588,693,535
35.91,585,689,526
35.94,585,688,524
35.97,587,689,525
36.00,596,693,530
36.04,593,690,517
36.07,585,689,527
36.10,585,688,524
36.13,586,688,524
36.17,591,691,527
36.20,584,696,541
36.23,586,691,530
36.26,584,688,524
36.29,585,688,524
36.33,589,690,527
36.36,599,698,534
36.39,588,694,533
36.42,585,689,526
36.46,585,688,524
36.49,587,689,525
36.52,595,693,530
36.55,593,681,532
36.59,586,690,527
36.62,585,688,524
36.65,587,689,525
36.68,592,691,528
36.71,589,681,541
36.75,586,690,528
36.78,585,688,524
36.81,586,689,525
36.84,591,691,527
36.88,575,702,540
36.91,587,691,530
36.94,585,688,524
36.97,586,688,524
37.00,590,690,527
37.04,583,700,536
37.07,588,692,532
37.10,585,688,525
37.13,586,688,524
37.17,589,690,527
37.20,601,701,537
37.23,587,692,531
37.26,585,688,525
37.29,586,688,524
37.33,591,691,527
37.36,575,700,541
37.39,587,690,528
37.42,586,689,524
37.46,587,689,525
37.49,594,692,529
37.52,593,695,524
37.55,586,689,526
37.58,585,688,523
37.62,588,689,525
37.65,599,695,531
37.68,590,694,533
37.71,585,689,525
37.75,586,688,524
37.78,589,690,527
37.81,598,701,538
37.84,587,691,530
37.87,585,688,524
37.91,588,689,525
37.94,597,694,532
37.97,590,693,534
38.00,586,688,524
38.04,587,689,525
