,time,A0,A1,A2
366,11.01,696,741,79
367,11.04,708,738,72
368,11.08,706,731,77
369,11.11,700,739,78
370,11.14,704,740,79
371,11.17,708,737,84
372,11.20,706,733,77
373,11.23,700,740,78
374,11.26,707,740,79
375,11.29,708,736,87
376,11.32,705,743,78
377,11.36,699,740,79
378,11.39,707,740,79
379,11.42,708,734,77
380,11.45,704,735,78
381,11.48,701,741,79
382,11.51,707,739,80
383,11.54,708,733,76
384,11.57,704,728,78
385,11.61,707,741,79
386,11.64,708,739,81
387,11.67,708,734,76
388,11.70,704,741,78
389,11.73,705,741,79
390,11.76,707,740,81
391,11.79,708,735,87
392,11.82,705,741,78
393,11.85,698,740,79
394,11.89,707,740,80
395,11.92,708,736,87
396,11.95,705,747,78
397,11.98,699,741,79
398,12.01,707,740,81
399,12.04,708,733,76
400,12.07,703,732,79
401,12.10,715,741,79
402,12.14,708,738,76
403,12.17,707,732,78
404,12.20,699,740,79
405,12.23,706,740,80
406,12.26,708,736,79
407,12.29,704,747,78
408,12.32,703,741,79
409,12.35,707,739,81
410,12.39,707,732,77
411,12.42,701,739,79
412,12.45,696,741,80
413,12.48,708,737,68
414,12.51,706,733,78
415,12.54,699,740,79
416,12.57,707,740,81
417,12.60,708,735,77
418,12.64,704,747,79
419,12.67,703,741,80
420,12.70,707,739,81
421,12.73,708,733,77
422,12.76,703,734,79
423,12.79,715,741,80
424,12.82,708,738,72
425,12.85,706,731,78
426,12.89,700,740,79
427,12.92,707,740,81
428,12.95,707,732,78
429,12.98,702,739,80
430,13.01,704,740,81
431,13.04,707,734,77
432,13.07,702,738,80
433,13.10,704,740,81
434,13.14,708,734,78
435,13.17,702,739,80
436,13.20,706,740,82
437,13.23,707,732,78
438,13.26,700,740,80
439,13.29,707,739,81
440,13.32,707,730,79
441,13.35,699,740,80
442,13.38,707,739,78
443,13.42,706,737,80
444,13.45,700,741,81
445,13.48,708,738,72
446,13.51,706,739,80
447,13.54,702,741,81
448,13.57,708,738,72
449,13.60,706,734,80
450,13.63,702,741,81
451,13.67,708,739,79
452,13.70,707,731,80
453,13.73,699,741,81
454,13.76,707,740,83
455,13.79,707,732,80
456,13.82,700,739,81
457,13.85,706,740,83
458,13.88,708,734,78
459,13.92,704,732,81
460,13.95,701,741,82
461,13.98,708,737,72
462,14.01,705,746,80
463,14.04,701,741,82
464,14.07,708,738,76
465,14.10,706,737,80
466,14.13,701,741,82
467,14.16,708,738,72
468,14.20,705,743,81
469,14.23,711,741,82
470,14.26,708,737,95
471,14.29,704,734,81
472,14.32,699,741,83
473,14.35,708,735,80
474,14.38,703,739,82
475,14.41,706,740,83
476,14.44,707,732,80
477,14.48,699,740,82
