Time,C0,C1,C2
25.36,497,660,533
25.40,498,663,542
25.43,503,670,532
25.46,510,661,529
25.49,501,659,528
25.53,498,658,527
25.56,497,658,528
25.59,496,659,533
25.62,498,663,540
25.66,504,668,531
25.69,508,660,528
25.72,500,659,527
25.75,497,658,527
25.78,496,659,530
25.82,497,661,517
25.85,500,671,533
25.88,511,661,529
25.91,501,659,528
25.95,498,658,527
25.98,496,658,529
26.01,496,660,533
26.04,499,653,536
26.07,490,663,530
26.11,504,659,528
26.14,499,658,527
26.17,497,658,528
26.20,497,659,532
26.23,498,664,541
26.27,506,667,531
26.30,507,660,528
26.33,500,659,527
26.36,498,658,528
26.40,497,659,531
26.43,498,662,532
26.46,503,670,532
26.49,510,661,528
26.53,501,659,527
26.56,498,659,528
26.59,497,659,530
26.62,497,661,517
26.65,501,671,533
26.69,511,662,529
26.72,502,660,528
26.75,498,659,527
26.78,497,659,529
26.82,497,661,534
26.85,499,654,536
26.88,491,664,530
26.91,504,661,528
26.94,499,660,527
26.98,497,660,528
27.01,496,660,530
27.04,497,662,528
27.07,499,666,537
27.11,502,668,530
27.14,506,664,529
27.17,500,667,527
27.20,498,661,527
27.23,496,667,529
27.27,496,662,534
27.30,498,666,540
27.33,505,669,531
27.36,508,662,529
27.40,500,660,527
27.43,498,660,528
27.46,496,660,530
27.49,497,663,519
27.53,502,673,532
27.56,510,662,529
27.59,500,660,528
27.62,497,660,528
27.65,496,661,533
27.69,498,666,539
27.72,500,665,530
27.75,503,661,528
27.78,498,660,528
27.81,496,661,531
27.85,498,667,539
27.88,488,665,530
27.91,501,661,528
27.94,497,660,528
27.98,497,662,536
28.01,500,670,533
28.04,508,662,528
28.07,499,661,528
28.11,496,662,532
28.14,498,661,536
28.17,511,664,529
28.20,499,662,528
28.23,497,663,531
28.27,498,668,536
28.30,509,666,529
28.33,499,663,528
28.36,497,663,532
28.40,498,669,535
28.43,511,666,529
28.46,499,662,528
28.49,497,662,532
28.52,499,661,534
28.56,510,665,528
28.59,499,666,528
28.62,497,664,532
28.65,499,659,536
28.69,512,664,529
28.72,499,661,527
28.75,497,661,530
28.78,498,666,539
28.81,485,664,529
28.85,500,661,528
28.88,497,661,529
28.91,497,665,543
28.94,506,667,530
28.98,502,662,528
29.01,498,661,529
29.04,497,664,520
29.07,504,671,531
29.11,503,663,528
29.14,498,662,528
29.17,497,663,536
29.20,501,680,532
29.23,507,667,528
