,time,A0,A1,A2
455,14.27,503,523,232
456,14.31,503,527,232
457,14.34,504,521,226
458,14.37,506,522,232
459,14.40,504,523,232
460,14.44,503,527,232
461,14.47,504,521,232
462,14.50,505,522,233
463,14.53,507,523,232
464,14.56,502,516,232
465,14.60,503,521,231
466,14.63,504,521,234
467,14.66,503,522,232
468,14.69,503,523,231
469,14.73,503,527,231
470,14.76,503,521,239
471,14.79,505,522,233
472,14.82,508,523,232
473,14.85,502,525,232
474,14.89,503,523,232
475,14.92,504,521,228
476,14.95,505,522,232
477,14.98,506,523,232
478,15.02,502,521,232
479,15.05,503,521,232
480,15.08,504,521,224
481,15.11,505,522,233
482,15.15,509,522,232
483,15.18,503,523,231
484,15.21,502,518,231
485,15.24,503,525,231
486,15.27,504,521,230
487,15.31,504,521,224
488,15.34,505,522,233
489,15.37,497,522,232
490,15.40,505,523,231
491,15.44,502,524,231
492,15.47,503,525,231
493,15.50,503,523,231
494,15.53,504,521,231
495,15.56,504,521,228
496,15.60,505,522,233
497,15.63,501,522,231
498,15.66,505,523,231
499,15.69,502,524,231
500,15.73,503,520,231
501,15.76,503,522,231
502,15.79,503,521,230
503,15.82,504,521,230
504,15.85,505,522,233
505,15.89,496,522,231
506,15.92,506,523,231
507,15.95,502,523,231
508,15.98,502,524,231
509,16.02,503,528,231
510,16.05,503,522,231
511,16.08,503,521,230
512,16.11,504,521,239
513,16.14,504,521,228
514,16.18,504,522,233
515,16.21,505,522,233
516,16.24,498,522,231
517,16.27,508,522,231
518,16.31,504,523,231
519,16.34,502,523,231
520,16.37,502,524,231
521,16.40,503,524,231
522,16.43,503,523,231
523,16.47,503,521,230
524,16.50,504,521,239
525,16.53,504,521,230
526,16.56,505,522,232
527,16.60,502,522,231
528,16.63,507,522,231
529,16.66,502,523,231
530,16.69,502,524,231
531,16.73,503,527,231
532,16.76,503,521,230
533,16.79,503,521,233
534,16.82,504,521,232
535,16.85,505,522,232
536,16.89,497,522,231
537,16.92,505,522,231
538,16.95,502,523,231
539,16.98,502,516,231
540,17.01,502,526,231
541,17.05,503,521,230
542,17.08,503,521,239
543,17.11,504,521,232
544,17.14,505,522,232
545,17.18,497,522,231
546,17.21,505,522,231
547,17.24,502,523,230
548,17.27,502,522,231
549,17.30,503,527,230
550,17.34,503,521,230
551,17.37,503,521,237
552,17.40,504,521,232
553,17.43,505,522,231
554,17.47,506,522,231
555,17.50,504,522,231
556,17.53,501,524,231
557,17.56,502,519,231
558,17.60,502,522,230
559,17.63,503,521,230
560,17.66,503,521,230
561,17.69,504,522,232
562,17.72,502,522,231
563,17.76,503,523,231
564,17.79,501,524,231
565,17.82,502,527,230
566,17.85,503,521,230
567,17.89,503,521,232
568,17.92,504,521,233
569,17.95,500,522,231
570,17.98,505,522,230
571,18.01,501,524,230
572,18.05,502,527,230
573,18.08,503,520,230
574,18.11,503,521,230
575,18.14,505,522,231
576,18.18,504,523,230
577,18.21,502,522,230
578,18.24,503,520,230
579,18.27,504,521,231
580,18.30,506,522,230
581,18.34,502,527,230
582,18.37,503,521,231
583,18.40,502,522,230
584,18.43,502,517,230
585,18.47,503,521,230
586,18.50,494,522,230
587,18.53,502,525,230
588,18.56,503,521,231
589,18.59,503,523,230
590,18.63,502,521,230
591,18.66,504,522,231
592,18.69,502,524,230
593,18.72,502,521,230
594,18.76,504,521,231
595,18.79,506,522,230
596,18.82,502,527,230
597,18.85,503,520,228
598,18.88,504,521,231
599,18.92,504,523,230
600,18.95,502,520,230
601,18.98,503,520,230
602,19.01,503,521,232
603,19.05,496,522,230
604,19.08,502,523,230
605,19.11,502,527,230
606,19.14,503,520,230
607,19.17,503,521,232
608,19.21,505,522,231
609,19.24,505,522,230
610,19.27,502,522,230
611,19.30,503,524,230
612,19.34,503,520,239
613,19.37,504,521,232
614,19.40,504,522,231
615,19.43,505,522,230
616,19.47,501,524,230
617,19.50,502,527,230
618,19.53,502,520,230
619,19.56,503,521,232
620,19.59,504,521,232
621,19.63,504,522,231
622,19.66,508,522,230
623,19.69,501,523,230
624,19.72,502,523,230
625,19.76,502,525,230
626,19.79,503,521,229
627,19.82,503,521,220
628,19.85,504,521,232
629,19.88,504,522,230
630,19.92,507,522,230
631,19.95,501,523,230
632,19.98,502,516,230
633,20.01,502,523,230
634,20.04,502,520,228
635,20.08,503,521,228
636,20.11,504,521,231
637,20.14,494,522,230
638,20.17,502,523,230
639,20.21,501,524,230
640,20.24,502,523,230
641,20.27,502,520,230
642,20.30,503,521,232
643,20.34,505,522,230
644,20.37,503,522,230
645,20.40,501,522,230
646,20.43,502,522,230
647,20.46,503,521,226
648,20.50,504,521,231
649,20.53,508,522,230
650,20.56,501,524,230
651,20.59,502,523,230
652,20.63,503,520,232
653,20.66,504,521,230
654,20.69,506,522,230
655,20.72,501,522,230
656,20.75,502,521,230
657,20.79,503,521,226
658,20.82,504,521,230
659,20.85,505,522,230
660,20.88,501,517,230
661,20.92,502,521,229
662,20.95,503,521,232
663,20.98,504,522,230
664,21.01,502,523,230
665,21.04,502,527,230
666,21.08,502,520,228
667,21.11,503,521,232
668,21.14,505,522,230
669,21.17,504,522,230
670,21.21,501,524,230
671,21.24,502,528,230
672,21.27,502,521,229
673,21.30,502,520,229
674,21.34,503,521,226
675,21.37,503,521,232
676,21.40,504,521,231
677,21.43,498,522,230
678,21.46,507,522,230
679,21.50,505,522,230
680,21.53,503,522,230
681,21.56,502,522,230
682,21.59,502,523,230
683,21.62,501,523,230
684,21.66,501,523,230
685,21.69,501,523,230
686,21.72,501,524,230
687,21.75,501,524,230
688,21.79,501,524,230
689,21.82,501,520,230
690,21.85,502,515,230
691,21.88,502,523,230
692,21.92,502,527,230
693,21.95,502,527,229
694,21.98,502,524,230
695,22.01,502,522,229
696,22.04,502,520,229
697,22.08,502,520,229
698,22.11,503,520,228
699,22.14,503,521,239
700,22.17,503,521,224
701,22.21,504,521,231
702,22.24,504,521,231
703,22.27,503,522,230
704,22.30,508,522,230
705,22.33,503,522,230
706,22.37,501,523,229
707,22.40,502,521,229
708,22.43,502,527,230
709,22.46,502,522,229
710,22.50,503,520,229
711,22.53,503,521,230
712,22.56,503,521,225
713,22.59,503,521,231
714,22.62,505,521,230
715,22.66,497,522,230
716,22.69,504,522,230
717,22.72,502,523,230
718,22.75,501,523,230
719,22.79,502,527,229
720,22.82,502,521,229
721,22.85,503,520,229
722,22.88,503,521,228
723,22.92,504,521,231
724,22.95,503,522,230
725,22.98,506,522,229
726,23.01,502,522,229
727,23.04,501,524,230
728,23.08,502,515,229
729,23.11,502,524,229
730,23.14,502,521,229
731,23.17,502,520,228
732,23.20,503,520,231
733,23.24,503,521,224
734,23.27,503,521,230
735,23.30,504,521,231
736,23.33,505,521,230
737,23.37,497,522,230
738,23.40,506,522,229
739,23.43,506,522,229
740,23.46,503,522,229
741,23.50,502,522,229
742,23.53,502,523,229
743,23.56,501,523,229
744,23.59,501,523,229
745,23.62,501,523,229
746,23.66,501,523,229
747,23.69,501,523,229
748,23.72,501,523,229
749,23.75,501,523,229
750,23.79,501,523,229
751,23.82,501,523,229
752,23.85,501,523,229
753,23.88,501,523,229
754,23.92,501,524,229
755,23.95,501,524,229
756,23.98,501,522,229
757,24.01,501,514,229
758,24.04,502,526,229
759,24.08,502,525,229
760,24.11,502,522,229
761,24.14,502,520,229
762,24.17,502,520,228
763,24.20,503,520,235
764,24.24,503,521,220
765,24.27,503,521,231
766,24.30,504,521,230
767,24.33,500,521,230
768,24.37,507,522,229
769,24.40,503,522,229
770,24.43,501,523,229
771,24.46,501,524,229
772,24.50,502,527,229
