,time,A0,A1,A2
354,11.02,697,735,117
355,11.05,703,733,119
356,11.08,704,727,116
357,11.11,701,733,116
358,11.15,697,735,117
359,11.18,703,733,127
360,11.21,704,728,115
361,11.24,702,722,116
362,11.28,697,735,116
363,11.31,692,734,115
364,11.34,704,731,114
365,11.37,703,731,116
366,11.41,700,734,116
367,11.44,703,735,117
368,11.47,703,732,114
369,11.50,704,726,115
370,11.53,701,733,116
371,11.57,696,735,117
372,11.60,702,734,106
373,11.63,704,728,115
374,11.66,703,729,116
375,11.70,697,735,116
376,11.73,692,734,116
377,11.76,704,731,114
378,11.79,704,727,116
379,11.82,700,734,116
380,11.86,696,735,117
381,11.89,703,734,112
382,11.92,704,729,115
383,11.95,703,741,116
384,11.98,699,735,116
385,12.02,705,735,117
386,12.05,703,733,123
387,12.08,704,728,115
388,12.11,702,731,116
389,12.15,698,735,116
390,12.18,711,735,117
391,12.21,703,732,115
392,12.24,704,727,115
393,12.28,702,730,116
394,12.31,696,735,117
395,12.34,698,734,112
396,12.37,704,730,114
397,12.40,703,735,116
398,12.44,699,735,116
399,12.47,706,735,117
400,12.50,703,732,115
401,12.53,704,727,116
402,12.57,701,731,116
403,12.60,696,735,117
404,12.63,700,734,112
405,12.66,704,730,114
406,12.69,703,734,116
407,12.73,699,735,116
408,12.76,701,735,117
409,12.79,703,733,127
410,12.82,704,728,115
411,12.86,702,724,116
412,12.89,697,735,117
413,12.92,694,734,114
414,12.95,704,730,114
415,12.98,704,731,116
416,13.02,700,734,116
417,13.05,700,735,117
418,13.08,703,733,127
419,13.11,704,728,115
420,13.15,702,725,116
421,13.18,697,735,116
422,13.21,702,735,116
423,13.24,704,731,114
424,13.28,704,728,116
425,13.31,700,734,116
426,13.34,697,735,117
427,13.37,703,733,104
428,13.40,704,728,115
429,13.44,703,742,116
430,13.47,698,735,116
431,13.50,707,735,117
432,13.53,703,732,114
433,13.56,704,726,115
434,13.60,701,733,116
435,13.63,696,735,117
436,13.66,702,734,106
437,13.69,704,729,115
438,13.73,702,743,116
439,13.76,697,735,116
440,13.79,695,734,114
441,13.82,704,730,114
442,13.85,703,735,116
443,13.89,699,735,116
444,13.92,711,735,117
445,13.95,704,731,114
446,13.98,704,728,115
447,14.02,700,734,116
448,14.05,699,735,117
449,14.08,703,733,127
450,14.11,704,728,115
451,14.15,702,727,116
452,14.18,697,735,116
453,14.21,702,735,116
454,14.24,704,731,114
455,14.27,704,729,116
456,14.31,700,734,116
457,14.34,701,735,118
458,14.37,703,733,119
459,14.40,704,726,115
460,14.44,702,730,116
461,14.47,696,735,116
462,14.50,700,734,112
463,14.53,704,730,114
464,14.56,703,735,116
465,14.60,700,734,116
466,14.63,700,735,117
467,14.66,703,733,114
468,14.69,704,729,115
469,14.73,703,739,116
470,14.76,699,735,116
471,14.79,701,735,117
472,14.82,703,733,112
473,14.85,704,728,115
474,14.89,703,739,116
475,14.92,699,735,116
476,14.95,703,735,117
477,14.98,703,733,117
478,15.02,704,726,115
479,15.05,701,732,116
480,15.08,696,735,117
481,15.11,702,733,104
482,15.15,704,728,115
483,15.18,702,727,116
484,15.21,696,735,116
485,15.24,700,734,106
486,15.27,704,728,115
487,15.31,702,722,116
488,15.34,696,735,116
489,15.37,700,734,108
490,15.40,704,729,114
491,15.44,703,742,116
492,15.47,698,735,116
493,15.50,709,735,117
494,15.53,704,732,113
495,15.56,704,726,115
496,15.60,701,733,116
497,15.63,696,735,117
498,15.66,700,734,112
499,15.69,704,731,114
500,15.73,704,729,116
501,15.76,700,733,116
502,15.79,696,735,117
503,15.82,698,734,113
504,15.85,704,731,114
505,15.89,704,727,116
506,15.92,701,733,116
507,15.95,696,735,117
508,15.98,698,734,113
509,16.02,704,730,114
510,16.05,703,731,116
511,16.08,699,735,116
512,16.11,699,735,117
513,16.14,703,733,123
514,16.18,704,727,115
515,16.21,702,724,116
516,16.24,697,735,116
517,16.27,695,735,116
518,16.31,704,731,114
519,16.34,703,727,115
520,16.37,700,734,116
521,16.40,698,735,117
522,16.43,703,733,119
523,16.47,704,727,115
524,16.50,702,724,116
525,16.53,696,735,116
526,16.56,695,734,117
527,16.60,704,732,113
528,16.63,704,725,115
529,16.66,701,732,116
530,16.69,696,735,116
531,16.73,694,734,116
532,16.76,704,732,114
533,16.79,704,726,115
534,16.82,701,729,116
535,16.85,697,735,116
536,16.89,703,735,117
537,16.92,703,732,115
538,16.95,704,727,115
539,16.98,702,724,116
540,17.01,697,735,116
541,17.05,703,735,117
542,17.08,704,732,113
543,17.11,704,726,115
544,17.14,701,728,116
545,17.18,696,735,116
546,17.21,701,735,117
547,17.24,703,732,113
548,17.27,704,726,115
549,17.30,702,728,116
550,17.34,697,735,116
551,17.37,709,735,117
552,17.40,703,733,123
553,17.43,704,728,115
554,17.47,703,739,116
555,17.50,700,734,116
556,17.53,696,735,117
557,17.56,698,734,116
558,17.60,704,732,113
559,17.63,704,726,115
560,17.66,702,739,116
561,17.69,699,734,116
562,17.72,697,735,117
563,17.76,696,735,115
564,17.79,704,732,113
565,17.82,704,726,115
566,17.85,702,726,116
567,17.89,696,735,116
568,17.92,697,735,117
569,17.95,704,732,114
