Time,D0,D1,D2
21.66,510,658,592
21.69,532,659,604
21.72,510,658,593
21.75,521,666,598
21.79,511,659,595
21.82,515,661,593
21.85,513,661,597
21.88,512,659,592
21.92,517,665,605
21.95,510,658,592
21.98,526,675,610
22.01,509,658,592
22.04,487,664,602
22.08,509,658,593
22.11,517,661,594
22.14,512,661,597
22.17,509,657,591
22.21,521,673,613
22.24,509,657,592
22.27,523,663,595
22.30,511,660,596
22.33,510,657,591
22.37,523,673,579
22.40,508,658,592
22.43,521,663,594
22.46,513,660,599
22.50,510,658,591
22.53,522,672,597
22.56,509,657,593
22.59,513,665,596
22.62,509,660,594
22.66,511,659,592
22.69,511,661,596
22.72,509,657,591
22.75,516,664,603
22.79,507,657,590
22.82,519,668,610
22.85,507,657,590
22.88,526,676,605
22.92,506,657,591
22.95,528,669,587
22.98,507,656,591
23.01,483,666,601
23.04,508,658,593
23.08,518,663,595
23.11,511,660,596
23.14,510,659,591
23.17,516,667,611
23.20,509,658,592
23.24,518,666,597
23.27,512,661,597
23.30,506,656,589
23.33,519,670,613
23.37,508,659,593
23.40,506,669,599
23.43,510,660,594
23.46,511,660,593
23.50,514,663,602
23.53,509,659,592
23.56,527,677,578
23.59,509,659,594
23.62,519,663,595
23.66,513,662,599
23.69,511,659,593
23.72,524,674,575
23.75,509,659,593
23.79,524,665,596
23.82,513,663,598
23.85,511,659,592
23.88,521,671,612
23.92,509,659,592
23.95,523,665,595
23.98,514,662,598
24.01,511,658,591
24.04,523,673,600
24.08,509,656,593
24.11,520,662,594
24.14,513,661,600
24.17,509,657,592
24.20,528,669,592
24.24,509,657,593
24.27,515,661,593
24.30,511,662,598
24.33,507,658,589
24.37,525,675,602
24.40,509,659,593
24.43,518,662,591
24.46,512,662,598
24.50,510,658,591
24.53,523,673,582
24.56,508,658,592
24.59,522,664,594
24.62,512,662,596
24.66,509,658,590
24.69,520,670,613
24.72,508,657,591
24.75,519,665,594
24.78,510,660,596
24.82,510,659,591
24.85,518,668,610
24.88,508,658,592
24.91,524,665,595
24.95,511,662,599
24.98,509,659,591
25.01,532,662,601
25.04,511,662,597
25.07,512,659,592
25.11,529,663,604
25.14,512,661,596
25.17,510,659,592
25.20,531,669,597
25.24,514,663,602
25.27,510,659,591
25.30,516,660,591
25.33,522,675,604
25.36,510,661,597
25.40,510,659,591
25.43,525,664,594
25.46,514,665,610
25.49,508,658,593
