Time,D0,D1,D2
30.10,452,625,531
30.14,433,611,544
30.17,445,620,556
30.20,435,612,545
30.23,438,615,549
30.27,437,614,546
30.30,435,613,546
30.33,447,620,553
30.36,434,611,545
30.39,451,625,562
30.43,434,612,545
30.46,441,617,551
30.49,436,613,546
30.52,437,614,547
30.56,445,619,552
30.59,435,613,546
30.62,454,629,565
30.65,435,612,545
30.68,443,618,553
30.72,436,613,546
30.75,438,615,549
30.78,441,616,549
30.81,436,613,547
30.85,421,616,552
30.88,435,613,546
30.91,450,624,560
30.94,436,613,546
30.98,441,616,551
31.01,438,615,547
31.04,437,614,547
31.07,445,622,555
31.10,436,613,546
31.14,450,624,560
31.17,436,614,546
31.20,440,616,550
31.23,440,617,549
31.26,437,614,547
31.30,436,608,541
31.33,436,613,546
31.36,445,620,555
31.39,437,615,548
31.43,439,617,549
31.46,445,623,553
31.49,436,616,547
31.52,454,630,564
31.55,436,618,547
31.59,441,618,551
31.62,440,619,550
31.65,438,616,548
31.68,458,626,532
31.72,436,617,547
31.75,443,618,552
31.78,439,615,548
31.81,438,615,548
31.85,450,622,556
31.88,437,615,547
31.91,456,629,565
31.94,437,614,547
31.97,445,620,555
32.01,438,614,548
32.04,441,616,551
32.07,442,617,550
32.10,438,615,548
32.14,429,603,544
32.17,437,615,547
32.20,448,622,557
32.23,439,616,548
32.27,441,617,550
32.30,446,622,554
32.33,438,616,548
32.36,456,629,565
32.39,438,616,548
32.43,442,618,551
32.46,442,619,551
32.49,438,616,548
32.52,458,631,565
32.56,438,616,548
32.59,442,618,551
32.62,443,619,552
32.65,438,615,548
32.68,453,626,560
32.72,438,615,548
32.75,440,617,549
32.78,451,621,554
32.81,438,615,547
32.85,445,619,553
32.88,442,617,551
32.91,439,616,548
32.94,458,629,564
32.97,439,615,548
33.01,442,617,551
33.04,447,622,556
33.07,439,615,548
33.10,451,623,558
33.13,440,616,549
33.17,441,617,550
33.20,449,623,556
33.23,439,615,548
33.26,452,625,561
33.30,440,617,549
33.33,443,619,552
33.36,447,622,554
33.39,440,616,549
33.43,457,630,565
33.46,439,616,549
33.49,444,618,552
33.52,444,618,552
33.55,440,615,549
33.59,461,631,552
33.62,440,615,548
33.65,446,619,554
33.68,443,618,551
33.72,441,616,551
33.75,439,607,546
33.78,440,615,549
33.81,449,622,558
33.85,441,617,550
33.88,443,618,551
33.91,451,624,557
33.94,441,617,549
33.97,455,627,562
34.01,441,616,550
34.04,444,618,553
34.07,448,621,555
34.10,441,616,550
34.13,458,629,566
34.17,441,616,550
34.20,444,619,553
34.23,447,621,554
34.26,441,616,550
34.30,459,631,567
34.33,441,616,550
34.36,445,619,554
34.39,445,621,553
34.42,442,619,551
34.46,462,636,559
34.49,442,617,551
34.52,448,621,557
34.55,445,619,553
34.59,443,617,551
34.62,428,606,534
34.65,442,616,550
34.68,449,621,557
34.72,444,618,552
34.75,443,617,552
34.78,448,627,536
34.81,442,616,550
34.84,447,620,555
34.88,446,619,554
34.91,442,616,551
34.94,461,632,569
34.97,442,616,551
35.01,446,619,554
35.04,448,621,556
35.07,442,616,551
35.10,455,625,562
35.13,443,617,551
35.17,444,617,552
35.20,431,615,556
35.23,442,616,551
35.26,448,620,555
35.30,446,619,555
35.33,443,617,552
35.36,458,628,564
35.39,444,619,553
35.42,446,619,553
35.46,447,614,559
35.49,443,617,551
35.52,449,620,556
35.55,446,619,554
35.59,443,617,552
35.62,462,631,568
35.65,443,616,551
35.68,446,619,554
35.72,451,623,558
35.75,443,616,551
35.78,453,623,559
35.81,445,618,553
35.84,444,617,552
35.88,462,629,554
35.91,443,617,551
35.94,447,619,555
35.97,450,622,558
36.00,443,616,551
36.04,453,622,559
36.07,445,618,553
36.10,444,617,552
36.13,462,629,566
36.17,444,617,552
36.20,445,618,553
36.23,456,625,555
36.26,443,617,552
36.29,446,619,554
36.33,457,625,546
36.36,445,618,553
36.39,448,621,556
36.42,454,626,562
36.46,444,618,552
36.49,449,621,556
36.52,452,624,560
36.55,444,618,552
36.59,451,622,558
36.62,448,622,557
