3.06	 C0:722	 C1:750	 C2:205
2.96	 D0:54	 D1:166	 D2:151

3.09	 C0:722	 C1:750	 C2:205
2.99	 D0:54	 D1:166	 D2:151

3.12	 C0:722	 C1:750	 C2:205
3.02	 D0:54	 D1:166	 D2:151

3.16	 C0:722	 C1:750	 C2:205
3.05	 D0:54	 D1:166	 D2:151

3.19	 C0:722	 C1:750	 C2:205
3.08	 D0:54	 D1:166	 D2:151

3.22	 C0:722	 C1:750	 C2:205
3.11	 D0:54	 D1:166	 D2:151

3.25	 C0:722	 C1:750	 C2:205
3.14	 D0:54	 D1:166	 D2:151

3.28	 C0:722	 C1:750	 C2:205
3.17	 D0:54	 D1:166	 D2:151

3.31	 C0:722	 C1:750	 C2:205
3.20	 D0:54	 D1:166	 D2:152

3.34	 C0:722	 C1:750	 C2:205
3.23	 D0:54	 D1:166	 D2:151

3.37	 C0:722	 C1:750	 C2:205
3.26	 D0:54	 D1:166	 D2:152

3.40	 C0:722	 C1:750	 C2:205
3.29	 D0:54	 D1:166	 D2:151

3.44	 C0:722	 C1:750	 C2:205
3.32	 D0:54	 D1:166	 D2:151

3.47	 C0:722	 C1:750	 C2:205
3.35	 D0:54	 D1:166	 D2:151

3.50	 C0:722	 C1:750	 C2:205
3.38	 D0:54	 D1:166	 D2:151

3.53	 C0:722	 C1:750	 C2:205
3.41	 D0:54	 D1:165	 D2:151

3.56	 C0:722	 C1:750	 C2:205
3.44	 D0:54	 D1:166	 D2:151

3.59	 C0:722	 C1:750	 C2:205
3.47	 D0:54	 D1:165	 D2:151

3.62	 C0:722	 C1:750	 C2:205
3.50	 D0:54	 D1:166	 D2:151

3.65	 C0:722	 C1:750	 C2:205
3.53	 D0:54	 D1:166	 D2:151

3.69	 C0:722	 C1:750	 C2:205
3.56	 D0:54	 D1:165	 D2:151

3.72	 C0:722	 C1:750	 C2:205
3.59	 D0:54	 D1:166	 D2:151

3.75	 C0:722	 C1:750	 C2:205
3.62	 D0:54	 D1:166	 D2:151

3.78	 C0:722	 C1:750	 C2:205
3.65	 D0:54	 D1:165	 D2:151

3.81	 C0:722	 C1:750	 C2:205
3.68	 D0:54	 D1:166	 D2:151

3.84	 C0:722	 C1:750	 C2:205
3.71	 D0:54	 D1:165	 D2:151

3.87	 C0:722	 C1:750	 C2:205
3.74	 D0:54	 D1:166	 D2:151

3.90	 C0:722	 C1:750	 C2:205
3.77	 D0:54	 D1:165	 D2:152

3.94	 C0:722	 C1:750	 C2:205
3.80	 D0:54	 D1:165	 D2:152

3.97	 C0:722	 C1:750	 C2:205
