5.13	 D0:20	 D1:104	 D2:112

5.34	 C0:718	 C1:751	 C2:134
5.16	 D0:20	 D1:104	 D2:112

5.37	 C0:718	 C1:751	 C2:135
5.19	 D0:20	 D1:104	 D2:112

5.40	 C0:718	 C1:751	 C2:135
5.22	 D0:20	 D1:104	 D2:112

5.43	 C0:718	 C1:751	 C2:134
5.25	 D0:20	 D1:104	 D2:112

5.46	 C0:719	 C1:751	 C2:134
5.28	 D0:20	 D1:104	 D2:112

5.50	 C0:719	 C1:751	 C2:134
5.31	 D0:20	 D1:104	 D2:111

5.53	 C0:718	 C1:751	 C2:134
5.34	 D0:20	 D1:104	 D2:112

5.56	 C0:718	 C1:751	 C2:134
5.37	 D0:20	 D1:104	 D2:112

5.59	 C0:718	 C1:751	 C2:134
5.40	 D0:20	 D1:104	 D2:112

5.62	 C0:718	 C1:751	 C2:134
5.43	 D0:20	 D1:104	 D2:112

5.65	 C0:718	 C1:751	 C2:134
5.46	 D0:20	 D1:104	 D2:111

5.68	 C0:718	 C1:751	 C2:134
5.49	 D0:20	 D1:104	 D2:112

5.71	 C0:719	 C1:751	 C2:134
5.52	 D0:20	 D1:104	 D2:112

5.75	 C0:718	 C1:751	 C2:134
5.55	 D0:20	 D1:104	 D2:112

5.78	 C0:718	 C1:751	 C2:134
5.58	 D0:20	 D1:104	 D2:112

5.81	 C0:718	 C1:751	 C2:134
5.61	 D0:20	 D1:104	 D2:112

5.84	 C0:718	 C1:751	 C2:134
5.64	 D0:20	 D1:104	 D2:112

5.87	 C0:718	 C1:751	 C2:134
5.67	 D0:20	 D1:104	 D2:112

5.90	 C0:718	 C1:751	 C2:134
5.70	 D0:20	 D1:104	 D2:112

5.93	 C0:718	 C1:751	 C2:134
5.73	 D0:20	 D1:104	 D2:112

5.96	 C0:718	 C1:751	 C2:135
5.76	 D0:20	 D1:104	 D2:112

5.99	 C0:718	 C1:751	 C2:134
5.79	 D0:20	 D1:104	 D2:112

6.03	 C0:719	 C1:751	 C2:134
5.82	 D0:20	 D1:104	 D2:112

6.06	 C0:718	 C1:751	 C2:134
5.85	 D0:20	 D1:104	 D2:112

6.09	 C0:718	 C1:751	 C2:134
5.88	 D0:20	 D1:104	 D2:112

6.12	 C0:718	 C1:751	 C2:134
5.91	 D0:20	 D1:104	 D2:112

6.15	 C0:718	 C1:751	 C2:134
5.94	 D0:20	 D1:104	 D2:112

6.18	 C0:718	 C1:751	 C2:135
5.97	 D0:20	 D1:104	 D2:112

6.21	 C0:718	 C1:751	 C2:134
6.00	 D0:20	 D1:104	 D2:112

6.24	 C0:718	 C1:751	 C2:134
6.03	 D0:20	 D1:103	 D2:112

6.28	 C0:718	 C1:751	 C2:134
6.06	 D0:20	 D1:104	 D2:112

6.31	 C0:718	 C1:751	 C2:135
6.09	 D0:20	 D1:104	 D2:112

6.34	 C0:718	 C1:751	 C2:134
6.12	 D0:20	 D1:104	 D2:112

6.37	 C0:718	 C1:751	 C2:134
6.16	 D0:20	 D1:104	 D2:112

6.40	 C0:718	 C1:751	 C2:134
6.18	 D0:20	 D1:104	 D2:112

6.43	 C0:718	 C1:751	 C2:134
6.22	 D0:20	 D1:104	 D2:112

6.46	 C0:718	 C1:751	 C2:134
6.25	 D0:20	 D1:104	 D2:112

6.49	 C0:718	 C1:751	 C2:134
6.28	 D0:20	 D1:104	 D2:112

6.52	 C0:718	 C1:751	 C2:134
6.30	 D0:20	 D1:104	 D2:112

6.56	 C0:718	 C1:751	 C2:134
6.34	 D0:20	 D1:104	 D2:112

6.59	 C0:718	 C1:751	 C2:134
6.37	 D0:20	 D1:104	 D2:112

6.62	 C0:718	 C1:751	 C2:134
6.40	 D0:20	 D1:104	 D2:111

6.65	 C0:718	 C1:751	 C2:134
6.43	 D0:20	 D1:104	 D2:112

6.68	 C0:718	 C1:751	 C2:134
6.46	 D0:20	 D1:104	 D2:112

6.71	 C0:718	 C1:751	 C2:134
6.49	 D0:20	 D1:104	 D2:112

6.74	 C0:718	 C1:751	 C2:134
6.52	 D0:20	 D1:104	 D2:112

6.77	 C0:718	 C1:751	 C2:134
6.55	 D0:20	 D1:104	 D2:112

6.80	 C0:718	 C1:751	 C2:134
6.58	 D0:20	 D1:104	 D2:112

6.84	 C0:718	 C1:751	 C2:134
6.61	 D0:20	 D1:103	 D2:112

6.87	 C0:718	 C1:751	 C2:134
6.64	 D0:20	 D1:103	 D2:112

6.90	 C0:718	 C1:751	 C2:134
6.67	 D0:20	 D1:104	 D2:112

6.93	 C0:718	 C1:751	 C2:134
6.70	 D0:20	 D1:104	 D2:112

6.96	 C0:718	 C1:751	 C2:134
6.73	 D0:20	 D1:104	 D2:112

6.99	 C0:718	 C1:751	 C2:134
6.76	 D0:20	 D1:104	 D2:112

7.02	 C0:718	 C1:751	 C2:134
6.79	 D0:20	 D1:104	 D2:112

7.05	 C0:718	 C1:751	 C2:134
6.82	 D0:20	 D1:104	 D2:112

7.09	 C0:718	 C1:751	 C2:134
6.85	 D0:20	 D1:104	 D2:112

7.12	 C0:718	 C1:751	 C2:134
6.88	 D0:20	 D1:104	 D2:112

7.15	 C0:718	 C1:751	 C2:134
6.91	 D0:20	 D1:104	 D2:112

7.18	 C0:718	 C1:751	 C2:134
