1.51	 C0:66	 C1:302	 C2:116
1.51	 A0:88	 A1:512	 A2:221
1.56	 B0:233	 B1:327	 B2:138
1.46	 D0:22	 D1:113	 D2:68

1.54	 C0:66	 C1:302	 C2:116
1.54	 A0:88	 A1:512	 A2:221
1.60	 B0:233	 B1:327	 B2:138
1.49	 D0:22	 D1:113	 D2:69

1.57	 C0:66	 C1:302	 C2:116
1.57	 A0:88	 A1:512	 A2:221
1.63	 B0:233	 B1:327	 B2:138
1.51	 D0:22	 D1:113	 D2:69

1.60	 C0:66	 C1:302	 C2:116
1.60	 A0:88	 A1:512	 A2:221
1.66	 B0:233	 B1:327	 B2:138
1.54	 D0:22	 D1:113	 D2:69

1.63	 C0:66	 C1:302	 C2:116
1.63	 A0:88	 A1:512	 A2:221
1.69	 B0:233	 B1:327	 B2:138
1.57	 D0:22	 D1:113	 D2:69

1.66	 C0:66	 C1:302	 C2:116
1.66	 A0:88	 A1:512	 A2:221
1.72	 B0:233	 B1:327	 B2:138
1.60	 D0:22	 D1:113	 D2:69

1.69	 C0:66	 C1:302	 C2:116
1.69	 A0:88	 A1:512	 A2:221
1.75	 B0:233	 B1:327	 B2:138
1.63	 D0:22	 D1:113	 D2:69

1.72	 C0:66	 C1:302	 C2:116
1.72	 A0:88	 A1:512	 A2:221
1.78	 B0:233	 B1:327	 B2:138
1.66	 D0:22	 D1:113	 D2:69

1.75	 C0:66	 C1:302	 C2:116
1.75	 A0:88	 A1:512	 A2:221
1.81	 B0:233	 B1:327	 B2:138
1.69	 D0:22	 D1:113	 D2:69

1.78	 C0:66	 C1:302	 C2:116
1.78	 A0:88	 A1:512	 A2:221
1.85	 B0:233	 B1:327	 B2:138
1.72	 D0:22	 D1:113	 D2:69

1.81	 C0:66	 C1:302	 C2:115
1.81	 A0:88	 A1:512	 A2:221
1.88	 B0:233	 B1:327	 B2:138
1.75	 D0:22	 D1:113	 D2:68

1.84	 C0:66	 C1:302	 C2:116
1.84	 A0:88	 A1:512	 A2:221
1.91	 B0:233	 B1:327	 B2:138
1.78	 D0:22	 D1:113	 D2:69

1.87	 C0:66	 C1:302	 C2:116
1.87	 A0:88	 A1:512	 A2:221
1.94	 B0:234	 B1:327	 B2:138
1.80	 D0:22	 D1:113	 D2:69

1.90	 C0:66	 C1:302	 C2:116
1.90	 A0:88	 A1:512	 A2:221
1.97	 B0:233	 B1:327	 B2:138
1.84	 D0:22	 D1:113	 D2:69

1.93	 C0:66	 C1:302	 C2:116
1.93	 A0:88	 A1:512	 A2:221
2.00	 B0:233	 B1:327	 B2:138
1.86	 D0:22	 D1:113	 D2:69

1.96	 C0:66	 C1:302	 C2:115
1.96	 A0:88	 A1:512	 A2:221
2.03	 B0:233	 B1:327	 B2:138
1.89	 D0:22	 D1:113	 D2:69

1.99	 C0:66	 C1:302	 C2:115
1.99	 A0:88	 A1:512	 A2:222
