2.75	 B0:217	 B1:313	 B2:133
2.56	 D0:19	 D1:118	 D2:52

2.69	 C0:61	 C1:280	 C2:117
2.69	 A0:79	 A1:498	 A2:212
2.78	 B0:216	 B1:313	 B2:133
2.59	 D0:19	 D1:118	 D2:52

2.72	 C0:61	 C1:280	 C2:117
2.72	 A0:78	 A1:498	 A2:212
2.81	 B0:217	 B1:313	 B2:133
2.62	 D0:19	 D1:118	 D2:52

2.75	 C0:61	 C1:280	 C2:117
2.75	 A0:78	 A1:498	 A2:212
2.84	 B0:217	 B1:313	 B2:133
2.65	 D0:19	 D1:118	 D2:52

2.78	 C0:61	 C1:280	 C2:117
2.78	 A0:79	 A1:498	 A2:212
2.87	 B0:217	 B1:313	 B2:133
2.68	 D0:19	 D1:118	 D2:52

2.81	 C0:61	 C1:280	 C2:117
2.81	 A0:79	 A1:498	 A2:212
2.91	 B0:217	 B1:313	 B2:133
2.71	 D0:19	 D1:118	 D2:52

2.84	 C0:61	 C1:280	 C2:117
2.84	 A0:78	 A1:498	 A2:212
2.94	 B0:217	 B1:313	 B2:133
2.74	 D0:19	 D1:118	 D2:52

2.87	 C0:61	 C1:280	 C2:117
2.87	 A0:79	 A1:498	 A2:212
2.97	 B0:217	 B1:313	 B2:133
2.77	 D0:19	 D1:118	 D2:52

2.90	 C0:61	 C1:280	 C2:117
2.90	 A0:79	 A1:498	 A2:212
3.00	 B0:217	 B1:313	 B2:133
2.80	 D0:19	 D1:118	 D2:52

2.93	 C0:60	 C1:280	 C2:117
2.93	 A0:78	 A1:498	 A2:212
3.03	 B0:217	 B1:313	 B2:133
2.83	 D0:19	 D1:118	 D2:52

2.96	 C0:61	 C1:280	 C2:117
2.96	 A0:78	 A1:498	 A2:212
3.06	 B0:217	 B1:313	 B2:133
2.85	 D0:19	 D1:118	 D2:52

2.99	 C0:60	 C1:280	 C2:117
2.99	 A0:78	 A1:498	 A2:212
3.09	 B0:217	 B1:313	 B2:133
2.88	 D0:19	 D1:118	 D2:52

3.02	 C0:61	 C1:280	 C2:117
3.02	 A0:78	 A1:498	 A2:212
3.12	 B0:217	 B1:313	 B2:133
2.91	 D0:19	 D1:118	 D2:53

3.05	 C0:61	 C1:280	 C2:117
3.05	 A0:79	 A1:498	 A2:212
3.16	 B0:216	 B1:313	 B2:133
2.94	 D0:19	 D1:118	 D2:52

3.08	 C0:60	 C1:280	 C2:117
3.08	 A0:78	 A1:498	 A2:212
3.19	 B0:216	 B1:313	 B2:133
2.97	 D0:19	 D1:118	 D2:52

3.11	 C0:61	 C1:280	 C2:117
3.11	 A0:78	 A1:498	 A2:212
3.22	 B0:217	 B1:313	 B2:133
3.00	 D0:19	 D1:118	 D2:52

3.14	 C0:60	 C1:280	 C2:117
3.14	 A0:78	 A1:498	 A2:212
3.25	 B0:217	 B1:313	 B2:133
3.03	 D0:19	 D1:118	 D2:52

3.17	 C0:61	 C1:280	 C2:117
3.17	 A0:78	 A1:498	 A2:212
3.28	 B0:217	 B1:313	 B2:133
3.06	 D0:19	 D1:118	 D2:52

3.20	 C0:60	 C1:280	 C2:117
3.20	 A0:78	 A1:498	 A2:212
3.31	 B0:217	 B1:313	 B2:133
3.09	 D0:19	 D1:118	 D2:52

3.23	 C0:61	 C1:280	 C2:117
3.23	 A0:79	 A1:498	 A2:212
3.34	 B0:217	 B1:313	 B2:133
3.12	 D0:19	 D1:118	 D2:52

3.26	 C0:61	 C1:280	 C2:117
3.26	 A0:78	 A1:498	 A2:212
3.37	 B0:217	 B1:313	 B2:133
3.14	 D0:19	 D1:118	 D2:52

3.29	 C0:60	 C1:280	 C2:117
3.29	 A0:78	 A1:498	 A2:212
3.40	 B0:217	 B1:313	 B2:133
3.17	 D0:19	 D1:118	 D2:52

3.32	 C0:60	 C1:280	 C2:117
3.32	 A0:79	 A1:498	 A2:212
3.44	 B0:217	 B1:313	 B2:133
3.20	 D0:19	 D1:118	 D2:53

3.35	 C0:61	 C1:280	 C2:117
3.35	 A0:79	 A1:498	 A2:212
3.47	 B0:217	 B1:313	 B2:133
3.23	 D0:19	 D1:118	 D2:53

3.38	 C0:61	 C1:280	 C2:117
3.38	 A0:79	 A1:498	 A2:212
3.50	 B0:217	 B1:313	 B2:133
3.26	 D0:19	 D1:118	 D2:53

3.41	 C0:60	 C1:280	 C2:117
3.41	 A0:79	 A1:498	 A2:212
3.53	 B0:217	 B1:313	 B2:133
3.29	 D0:19	 D1:118	 D2:53

3.44	 C0:60	 C1:280	 C2:117
3.44	 A0:78	 A1:498	 A2:212
3.56	 B0:217	 B1:313	 B2:133
3.32	 D0:19	 D1:118	 D2:53

3.47	 C0:60	 C1:280	 C2:117
3.47	 A0:79	 A1:498	 A2:212
3.59	 B0:217	 B1:313	 B2:133
3.35	 D0:19	 D1:118	 D2:52

3.50	 C0:61	 C1:280	 C2:117
3.50	 A0:79	 A1:498	 A2:212
3.62	 B0:217	 B1:313	 B2:133
3.38	 D0:19	 D1:118	 D2:52

3.53	 C0:60	 C1:280	 C2:117
3.53	 A0:79	 A1:498	 A2:212
3.65	 B0:217	 B1:313	 B2:133
3.41	 D0:19	 D1:118	 D2:53

3.56	 C0:61	 C1:280	 C2:117
3.56	 A0:79	 A1:498	 A2:212
3.69	 B0:217	 B1:313	 B2:133
3.44	 D0:19	 D1:118	 D2:53

3.59	 C0:61	 C1:280	 C2:117
3.59	 A0:79	 A1:498	 A2:212
3.72	 B0:217	 B1:313	 B2:133
3.47	 D0:19	 D1:118	 D2:53

3.62	 C0:61	 C1:280	 C2:117
3.62	 A0:79	 A1:498	 A2:212
3.75	 B0:217	 B1:313	 B2:133
3.49	 D0:19	 D1:118	 D2:53

3.65	 C0:61	 C1:280	 C2:117
3.65	 A0:78	 A1:498	 A2:212
3.78	 B0:217	 B1:313	 B2:133
3.52	 D0:19	 D1:118	 D2:53

3.68	 C0:61	 C1:280	 C2:117
3.68	 A0:78	 A1:498	 A2:212
3.81	 B0:217	 B1:313	 B2:133
3.55	 D0:19	 D1:118	 D2:52

3.71	 C0:61	 C1:280	 C2:117
3.71	 A0:79	 A1:498	 A2:212
3.84	 B0:217	 B1:313	 B2:133
3.58	 D0:19	 D1:118	 D2:53

3.74	 C0:61	 C1:280	 C2:117
3.74	 A0:78	 A1:498	 A2:212
3.87	 B0:217	 B1:313	 B2:133
3.61	 D0:19	 D1:118	 D2:53

3.77	 C0:60	 C1:280	 C2:117
3.77	 A0:79	 A1:498	 A2:212
3.90	 B0:217	 B1:313	 B2:133
3.64	 D0:19	 D1:118	 D2:53

3.80	 C0:60	 C1:280	 C2:117
3.80	 A0:79	 A1:498	 A2:212
3.94	 B0:217	 B1:313	 B2:133
3.67	 D0:19	 D1:118	 D2:53

3.83	 C0:61	 C1:280	 C2:117
3.83	 A0:78	 A1:498	 A2:212
3.97	 B0:217	 B1:313	 B2:133
3.70	 D0:19	 D1:118	 D2:53

3.86	 C0:61	 C1:280	 C2:117
3.86	 A0:79	 A1:498	 A2:212
4.00	 B0:217	 B1:313	 B2:133
3.73	 D0:19	 D1:118	 D2:53

3.89	 C0:61	 C1:280	 C2:117
3.89	 A0:79	 A1:498	 A2:212
4.03	 B0:217	 B1:313	 B2:133
3.76	 D0:19	 D1:118	 D2:53

3.92	 C0:60	 C1:280	 C2:117
3.92	 A0:78	 A1:498	 A2:212
4.06	 B0:217	 B1:313	 B2:133
3.79	 D0:19	 D1:118	 D2:53

3.95	 C0:61	 C1:280	 C2:117
3.95	 A0:79	 A1:498	 A2:212
4.09	 B0:217	 B1:313	 B2:133
3.82	 D0:19	 D1:118	 D2:53

3.98	 C0:61	 C1:280	 C2:117
3.98	 A0:79	 A1:498	 A2:212
4.12	 B0:217	 B1:313	 B2:133
3.84	 D0:19	 D1:118	 D2:53

4.01	 C0:61	 C1:280	 C2:117
4.01	 A0:78	 A1:498	 A2:212
4.15	 B0:216	 B1:313	 B2:133
3.87	 D0:19	 D1:118	 D2:53

4.04	 C0:61	 C1:280	 C2:117
4.04	 A0:79	 A1:498	 A2:212
4.19	 B0:217	 B1:313	 B2:133
3.90	 D0:19	 D1:118	 D2:53

4.07	 C0:61	 C1:280	 C2:117
4.07	 A0:78	 A1:498	 A2:212
4.22	 B0:217	 B1:313	 B2:133
3.93	 D0:19	 D1:118	 D2:53

4.10	 C0:60	 C1:280	 C2:117
4.10	 A0:79	 A1:498	 A2:212
4.25	 B0:217	 B1:313	 B2:133
3.96	 D0:19	 D1:118	 D2:53

4.13	 C0:60	 C1:280	 C2:117
4.13	 A0:79	 A1:498	 A2:212
4.28	 B0:217	 B1:313	 B2:133
3.99	 D0:19	 D1:118	 D2:53

4.16	 C0:61	 C1:280	 C2:117
4.16	 A0:78	 A1:498	 A2:212
4.31	 B0:217	 B1:313	 B2:133
4.02	 D0:19	 D1:118	 D2:53

4.19	 C0:60	 C1:280	 C2:117
4.19	 A0:78	 A1:498	 A2:212
4.34	 B0:217	 B1:313	 B2:133
4.05	 D0:19	 D1:118	 D2:53

4.23	 C0:61	 C1:280	 C2:117
4.23	 A0:79	 A1:498	 A2:212
4.37	 B0:217	 B1:313	 B2:133
4.08	 D0:19	 D1:118	 D2:53

4.25	 C0:61	 C1:280	 C2:117
4.25	 A0:79	 A1:498	 A2:212
4.40	 B0:217	 B1:313	 B2:133
4.11	 D0:19	 D1:118	 D2:53

4.28	 C0:61	 C1:280	 C2:117
4.28	 A0:79	 A1:498	 A2:212
4.43	 B0:217	 B1:313	 B2:133
4.13	 D0:19	 D1:118	 D2:53

4.32	 C0:61	 C1:280	 C2:117
4.32	 A0:79	 A1:498	 A2:212
4.47	 B0:217	 B1:313	 B2:133
4.16	 D0:19	 D1:118	 D2:53

4.34	 C0:61	 C1:280	 C2:117
4.34	 A0:79	 A1:498	 A2:212
4.50	 B0:217	 B1:313	 B2:133
4.19	 D0:19	 D1:118	 D2:53

4.38	 C0:61	 C1:280	 C2:117
4.38	 A0:79	 A1:498	 A2:212
4.53	 B0:217	 B1:313	 B2:133
4.22	 D0:19	 D1:118	 D2:53

4.41	 C0:60	 C1:280	 C2:117
4.41	 A0:79	 A1:498	 A2:212
4.56	 B0:217	 B1:313	 B2:133
4.25	 D0:19	 D1:118	 D2:53

4.44	 C0:60	 C1:280	 C2:117
4.44	 A0:79	 A1:498	 A2:212
4.59	 B0:217	 B1:313	 B2:133
4.28	 D0:19	 D1:118	 D2:53

4.47	 C0:61	 C1:280	 C2:117
4.47	 A0:79	 A1:498	 A2:212
4.62	 B0:217	 B1:313	 B2:133
4.31	 D0:19	 D1:118	 D2:53

4.50	 C0:60	 C1:280	 C2:117
4.50	 A0:79	 A1:498	 A2:212
4.65	 B0:217	 B1:313	 B2:133
4.34	 D0:19	 D1:118	 D2:53

4.53	 C0:61	 C1:280	 C2:117
4.53	 A0:79	 A1:498	 A2:212
4.68	 B0:217	 B1:313	 B2:134
4.37	 D0:19	 D1:118	 D2:53

4.56	 C0:60	 C1:280	 C2:117
4.56	 A0:79	 A1:498	 A2:212
4.72	 B0:217	 B1:313	 B2:133
4.40	 D0:19	 D1:118	 D2:53

4.59	 C0:61	 C1:280	 C2:117
4.59	 A0:79	 A1:498	 A2:212
4.75	 B0:217	 B1:313	 B2:133
4.43	 D0:19	 D1:118	 D2:53

4.62	 C0:61	 C1:281	 C2:117
4.62	 A0:79	 A1:498	 A2:212
4.78	 B0:217	 B1:313	 B2:133
4.46	 D0:19	 D1:118	 D2:53

4.65	 C0:60	 C1:280	 C2:117
4.65	 A0:79	 A1:498	 A2:212
4.81	 B0:217	 B1:313	 B2:133
4.49	 D0:19	 D1:118	 D2:53

4.68	 C0:61	 C1:280	 C2:117
