1.60	 A0:44	 A1:356	 A2:102

1.69	 B0:143	 B1:289	 B2:105
1.63	 C0:55	 C1:134	 C2:405
1.63	 D0:42	 D1:341	 D2:142
1.63	 A0:44	 A1:356	 A2:102

1.72	 B0:143	 B1:289	 B2:105
1.66	 C0:55	 C1:134	 C2:405
1.66	 D0:42	 D1:341	 D2:142
1.66	 A0:44	 A1:356	 A2:102

1.75	 B0:143	 B1:289	 B2:105
1.69	 C0:55	 C1:134	 C2:405
1.69	 D0:42	 D1:341	 D2:142
1.69	 A0:44	 A1:356	 A2:102

1.78	 B0:143	 B1:289	 B2:105
1.72	 C0:55	 C1:134	 C2:405
1.72	 D0:42	 D1:341	 D2:142
1.72	 A0:44	 A1:356	 A2:102

1.81	 B0:143	 B1:289	 B2:105
1.75	 C0:55	 C1:133	 C2:405
1.75	 D0:42	 D1:341	 D2:143
1.75	 A0:44	 A1:356	 A2:102

1.85	 B0:143	 B1:289	 B2:105
1.78	 C0:55	 C1:134	 C2:405
1.78	 D0:42	 D1:341	 D2:142
1.78	 A0:44	 A1:356	 A2:102

1.88	 B0:143	 B1:289	 B2:105
1.81	 C0:55	 C1:134	 C2:405
1.81	 D0:42	 D1:341	 D2:142
1.81	 A0:44	 A1:356	 A2:102

1.91	 B0:143	 B1:289	 B2:105
1.84	 C0:55	 C1:133	 C2:405
1.84	 D0:41	 D1:341	 D2:142
1.84	 A0:44	 A1:356	 A2:102

1.94	 B0:142	 B1:289	 B2:105
1.87	 C0:55	 C1:134	 C2:405
1.87	 D0:42	 D1:341	 D2:142
1.87	 A0:44	 A1:356	 A2:102

1.97	 B0:142	 B1:289	 B2:105
1.90	 C0:55	 C1:134	 C2:405
1.90	 D0:42	 D1:341	 D2:143
1.90	 A0:44	 A1:356	 A2:102

2.00	 B0:143	 B1:289	 B2:105
1.93	 C0:55	 C1:134	 C2:405
1.93	 D0:42	 D1:341	 D2:143
1.93	 A0:44	 A1:356	 A2:102

2.03	 B0:143	 B1:289	 B2:105
1.96	 C0:55	 C1:134	 C2:405
1.96	 D0:42	 D1:341	 D2:143
1.96	 A0:44	 A1:356	 A2:102

2.06	 B0:143	 B1:289	 B2:105
1.99	 C0:55	 C1:134	 C2:405
1.99	 D0:42	 D1:341	 D2:143
1.99	 A0:44	 A1:356	 A2:102

2.10	 B0:143	 B1:289	 B2:105
2.02	 C0:55	 C1:134	 C2:405
2.02	 D0:42	 D1:341	 D2:142
2.02	 A0:44	 A1:356	 A2:102

2.13	 B0:143	 B1:289	 B2:105
2.05	 C0:55	 C1:134	 C2:405
2.05	 D0:42	 D1:341	 D2:142
2.05	 A0:44	 A1:356	 A2:102

2.16	 B0:143	 B1:289	 B2:105
2.08	 C0:55	 C1:133	 C2:405
2.08	 D0:42	 D1:341	 D2:143
2.08	 A0:44	 A1:356	 A2:102

2.19	 B0:143	 B1:289	 B2:105
2.11	 C0:55	 C1:134	 C2:405
2.11	 D0:42	 D1:341	 D2:143
2.11	 A0:44	 A1:356	 A2:102

2.22	 B0:143	 B1:289	 B2:105
2.14	 C0:55	 C1:134	 C2:405
2.14	 D0:42	 D1:341	 D2:143
2.14	 A0:44	 A1:356	 A2:102

2.25	 B0:143	 B1:289	 B2:105
2.17	 C0:55	 C1:133	 C2:405
2.17	 D0:42	 D1:341	 D2:142
2.17	 A0:44	 A1:356	 A2:102

2.28	 B0:143	 B1:289	 B2:105
2.20	 C0:55	 C1:134	 C2:405
2.20	 D0:42	 D1:341	 D2:142
2.20	 A0:44	 A1:356	 A2:102

2.31	 B0:143	 B1:289	 B2:105
2.23	 C0:55	 C1:134	 C2:405
2.23	 D0:42	 D1:341	 D2:143
2.23	 A0:44	 A1:356	 A2:102

2.34	 B0:143	 B1:289	 B2:105
2.26	 C0:55	 C1:134	 C2:405
2.26	 D0:42	 D1:341	 D2:143
2.26	 A0:44	 A1:356	 A2:102

2.38	 B0:143	 B1:289	 B2:105
2.29	 C0:55	 C1:134	 C2:405
2.29	 D0:42	 D1:341	 D2:143
