2.53	 A0:123	 A1:544	 A2:249
2.53	 B0:287	 B1:400	 B2:156
2.36	 D0:31	 D1:160	 D2:65

2.48	 C0:82	 C1:370	 C2:142
2.56	 A0:123	 A1:544	 A2:249
2.56	 B0:288	 B1:400	 B2:156
2.39	 D0:31	 D1:160	 D2:65

2.51	 C0:82	 C1:370	 C2:142
2.59	 A0:123	 A1:544	 A2:249
2.59	 B0:287	 B1:400	 B2:156
2.42	 D0:32	 D1:160	 D2:65

2.54	 C0:82	 C1:369	 C2:142
2.63	 A0:123	 A1:544	 A2:249
2.63	 B0:288	 B1:400	 B2:156
2.45	 D0:31	 D1:160	 D2:65

2.57	 C0:82	 C1:369	 C2:142
2.66	 A0:123	 A1:544	 A2:249
2.66	 B0:287	 B1:400	 B2:156
2.48	 D0:31	 D1:160	 D2:65

2.60	 C0:82	 C1:370	 C2:142
2.69	 A0:123	 A1:544	 A2:249
2.69	 B0:288	 B1:400	 B2:156
2.50	 D0:31	 D1:160	 D2:65

2.63	 C0:82	 C1:370	 C2:142
2.72	 A0:123	 A1:544	 A2:249
2.72	 B0:287	 B1:400	 B2:156
2.53	 D0:32	 D1:160	 D2:65

2.66	 C0:82	 C1:369	 C2:142
2.75	 A0:123	 A1:543	 A2:249
2.75	 B0:287	 B1:400	 B2:157
2.56	 D0:31	 D1:160	 D2:65

2.69	 C0:82	 C1:370	 C2:142
2.78	 A0:123	 A1:544	 A2:249
2.78	 B0:288	 B1:400	 B2:157
2.59	 D0:31	 D1:160	 D2:66

2.72	 C0:82	 C1:370	 C2:142
2.81	 A0:123	 A1:544	 A2:249
2.81	 B0:288	 B1:400	 B2:156
2.62	 D0:31	 D1:160	 D2:65

2.75	 C0:82	 C1:370	 C2:142
2.84	 A0:123	 A1:544	 A2:249
2.84	 B0:288	 B1:400	 B2:156
2.65	 D0:31	 D1:160	 D2:65

2.78	 C0:81	 C1:369	 C2:142
2.87	 A0:123	 A1:543	 A2:249
2.87	 B0:288	 B1:400	 B2:156
2.68	 D0:31	 D1:160	 D2:65

2.81	 C0:82	 C1:370	 C2:142
2.91	 A0:123	 A1:544	 A2:249
2.91	 B0:287	 B1:400	 B2:157
2.71	 D0:31	 D1:160	 D2:65

2.84	 C0:81	 C1:369	 C2:142
2.94	 A0:123	 A1:544	 A2:249
2.94	 B0:288	 B1:400	 B2:156
2.74	 D0:32	 D1:160	 D2:66

2.87	 C0:82	 C1:369	 C2:142
2.97	 A0:123	 A1:544	 A2:249
2.97	 B0:288	 B1:400	 B2:157
2.77	 D0:32	 D1:160	 D2:65

2.90	 C0:82	 C1:370	 C2:142
3.00	 A0:123	 A1:544	 A2:249
3.00	 B0:288	 B1:400	 B2:156
2.80	 D0:31	 D1:160	 D2:65

2.93	 C0:82	 C1:369	 C2:142
3.03	 A0:123	 A1:544	 A2:249
3.03	 B0:287	 B1:400	 B2:156
2.83	 D0:32	 D1:160	 D2:66

2.96	 C0:82	 C1:370	 C2:142
3.06	 A0:123	 A1:544	 A2:249
3.06	 B0:288	 B1:400	 B2:157
2.85	 D0:32	 D1:160	 D2:65

2.99	 C0:82	 C1:369	 C2:142
3.09	 A0:122	 A1:544	 A2:249
3.09	 B0:287	 B1:400	 B2:157
2.88	 D0:31	 D1:160	 D2:66

3.02	 C0:82	 C1:369	 C2:142
3.12	 A0:122	 A1:544	 A2:249
3.12	 B0:287	 B1:400	 B2:156
2.91	 D0:32	 D1:160	 D2:65

3.05	 C0:82	 C1:369	 C2:142
3.16	 A0:123	 A1:544	 A2:249
3.16	 B0:288	 B1:400	 B2:156
2.94	 D0:31	 D1:160	 D2:66

3.08	 C0:82	 C1:369	 C2:142
3.19	 A0:123	 A1:544	 A2:249
3.19	 B0:288	 B1:400	 B2:156
2.97	 D0:32	 D1:160	 D2:66

3.11	 C0:82	 C1:369	 C2:142
3.22	 A0:122	 A1:544	 A2:249
3.22	 B0:287	 B1:400	 B2:156
3.00	 D0:32	 D1:160	 D2:66

3.14	 C0:82	 C1:369	 C2:142
3.25	 A0:123	 A1:544	 A2:249
3.25	 B0:287	 B1:400	 B2:156
3.03	 D0:31	 D1:160	 D2:66

3.17	 C0:82	 C1:369	 C2:143
3.28	 A0:123	 A1:544	 A2:249
3.28	 B0:287	 B1:400	 B2:157
3.06	 D0:31	 D1:160	 D2:66

3.20	 C0:82	 C1:369	 C2:143
3.31	 A0:123	 A1:543	 A2:249
3.31	 B0:287	 B1:400	 B2:156
3.09	 D0:32	 D1:160	 D2:65

3.23	 C0:82	 C1:370	 C2:142
3.34	 A0:123	 A1:544	 A2:249
3.34	 B0:287	 B1:400	 B2:156
3.12	 D0:32	 D1:160	 D2:65

3.26	 C0:82	 C1:369	 C2:142
3.37	 A0:123	 A1:544	 A2:249
3.37	 B0:288	 B1:400	 B2:156
3.14	 D0:31	 D1:160	 D2:66

3.29	 C0:82	 C1:369	 C2:142
3.40	 A0:122	 A1:544	 A2:249
3.40	 B0:288	 B1:400	 B2:156
3.17	 D0:31	 D1:160	 D2:66

3.32	 C0:81	 C1:370	 C2:142
3.44	 A0:122	 A1:544	 A2:249
3.44	 B0:287	 B1:400	 B2:156
3.20	 D0:31	 D1:160	 D2:66

3.35	 C0:82	 C1:369	 C2:142
3.47	 A0:123	 A1:544	 A2:249
