1.87	 A0:50	 A1:380	 A2:110

1.97	 B0:160	 B1:324	 B2:114
1.90	 C0:70	 C1:155	 C2:479
1.90	 D0:50	 D1:414	 D2:134
1.90	 A0:50	 A1:380	 A2:110

2.00	 B0:160	 B1:324	 B2:115
1.93	 C0:70	 C1:155	 C2:479
1.93	 D0:50	 D1:414	 D2:134
1.93	 A0:50	 A1:380	 A2:110

2.03	 B0:160	 B1:324	 B2:115
1.96	 C0:70	 C1:155	 C2:479
1.96	 D0:50	 D1:414	 D2:134
1.96	 A0:50	 A1:380	 A2:110

2.06	 B0:160	 B1:323	 B2:114
1.99	 C0:70	 C1:155	 C2:479
1.99	 D0:50	 D1:414	 D2:134
1.99	 A0:50	 A1:380	 A2:110

2.10	 B0:160	 B1:323	 B2:115
2.02	 C0:70	 C1:155	 C2:479
2.02	 D0:50	 D1:414	 D2:134
2.02	 A0:50	 A1:380	 A2:110

2.13	 B0:160	 B1:323	 B2:115
2.05	 C0:70	 C1:155	 C2:479
2.05	 D0:50	 D1:414	 D2:134
2.05	 A0:50	 A1:380	 A2:110

2.16	 B0:160	 B1:323	 B2:115
2.08	 C0:70	 C1:155	 C2:479
2.08	 D0:50	 D1:414	 D2:134
2.08	 A0:50	 A1:380	 A2:110

2.19	 B0:160	 B1:324	 B2:115
2.11	 C0:70	 C1:155	 C2:479
2.11	 D0:50	 D1:414	 D2:134
2.11	 A0:50	 A1:380	 A2:110

2.22	 B0:161	 B1:324	 B2:114
2.14	 C0:70	 C1:155	 C2:479
2.14	 D0:50	 D1:414	 D2:134
2.14	 A0:50	 A1:380	 A2:110

2.25	 B0:160	 B1:323	 B2:115
2.17	 C0:70	 C1:154	 C2:479
2.17	 D0:50	 D1:414	 D2:134
2.17	 A0:50	 A1:380	 A2:110

2.28	 B0:160	 B1:324	 B2:114
2.20	 C0:70	 C1:155	 C2:479
2.20	 D0:50	 D1:414	 D2:134
2.20	 A0:50	 A1:380	 A2:110

2.31	 B0:160	 B1:324	 B2:114
2.23	 C0:70	 C1:155	 C2:479
2.23	 D0:50	 D1:414	 D2:134
2.23	 A0:50	 A1:380	 A2:110

2.34	 B0:160	 B1:323	 B2:115
2.26	 C0:70	 C1:155	 C2:479
2.26	 D0:50	 D1:414	 D2:134
2.26	 A0:50	 A1:380	 A2:110

2.38	 B0:160	 B1:323	 B2:114
2.29	 C0:70	 C1:155	 C2:479
2.29	 D0:50	 D1:414	 D2:134
2.29	 A0:50	 A1:380	 A2:110

2.41	 B0:160	 B1:323	 B2:114
2.32	 C0:70	 C1:155	 C2:479
2.32	 D0:50	 D1:414	 D2:134
2.32	 A0:50	 A1:380	 A2:110

2.44	 B0:160	 B1:323	 B2:114
2.36	 C0:70	 C1:155	 C2:479
2.36	 D0:50	 D1:414	 D2:134
2.36	 A0:50	 A1:380	 A2:110

2.47	 B0:160	 B1:323	 B2:115
2.38	 C0:70	 C1:155	 C2:479
2.38	 D0:50	 D1:414	 D2:134
2.38	 A0:50	 A1:380	 A2:110

2.50	 B0:160	 B1:323	 B2:114
2.42	 C0:70	 C1:155	 C2:479
2.42	 D0:50	 D1:414	 D2:134
2.42	 A0:50	 A1:380	 A2:110

2.53	 B0:160	 B1:323	 B2:114
2.45	 C0:70	 C1:155	 C2:479
2.45	 D0:50	 D1:414	 D2:134
2.45	 A0:50	 A1:380	 A2:110

2.56	 B0:160	 B1:323	 B2:114
2.48	 C0:70	 C1:155	 C2:479
2.48	 D0:50	 D1:414	 D2:134
2.48	 A0:50	 A1:380	 A2:110

2.59	 B0:160	 B1:323	 B2:115
2.51	 C0:70	 C1:155	 C2:479
2.51	 D0:50	 D1:414	 D2:134
2.51	 A0:50	 A1:380	 A2:110

2.63	 B0:160	 B1:323	 B2:114
2.54	 C0:70	 C1:155	 C2:479
2.54	 D0:50	 D1:414	 D2:134
2.54	 A0:50	 A1:380	 A2:110

2.66	 B0:160	 B1:323	 B2:114
2.57	 C0:70	 C1:155	 C2:479
2.57	 D0:50	 D1:414	 D2:134
2.57	 A0:50	 A1:380	 A2:110

2.69	 B0:160	 B1:323	 B2:114
2.60	 C0:70	 C1:155	 C2:479
2.60	 D0:50	 D1:414	 D2:134
2.60	 A0:50	 A1:380	 A2:110

2.72	 B0:160	 B1:323	 B2:114
2.63	 C0:70	 C1:155	 C2:479
2.63	 D0:50	 D1:414	 D2:135
2.63	 A0:50	 A1:380	 A2:110

2.75	 B0:160	 B1:323	 B2:114
2.66	 C0:70	 C1:155	 C2:479
2.66	 D0:50	 D1:414	 D2:134
2.66	 A0:50	 A1:380	 A2:110

2.78	 B0:160	 B1:323	 B2:114
2.69	 C0:70	 C1:155	 C2:479
2.69	 D0:50	 D1:414	 D2:134
2.69	 A0:50	 A1:380	 A2:110

2.81	 B0:160	 B1:323	 B2:114
2.72	 C0:70	 C1:155	 C2:479
2.72	 D0:50	 D1:414	 D2:134
2.72	 A0:50	 A1:380	 A2:110

2.84	 B0:160	 B1:324	 B2:114
2.75	 C0:70	 C1:155	 C2:479
2.75	 D0:50	 D1:414	 D2:134
2.75	 A0:50	 A1:380	 A2:110

2.87	 B0:160	 B1:323	 B2:114
2.78	 C0:70	 C1:155	 C2:479
2.78	 D0:50	 D1:414	 D2:134
2.78	 A0:50	 A1:380	 A2:110

2.91	 B0:160	 B1:324	 B2:115
2.81	 C0:70	 C1:155	 C2:479
2.81	 D0:50	 D1:414	 D2:134
2.81	 A0:50	 A1:380	 A2:110

2.94	 B0:160	 B1:324	 B2:114
2.84	 C0:70	 C1:155	 C2:479
2.84	 D0:50	 D1:414	 D2:134
2.84	 A0:50	 A1:380	 A2:110

2.97	 B0:160	 B1:324	 B2:114
2.87	 C0:70	 C1:155	 C2:479
2.87	 D0:50	 D1:414	 D2:134
2.87	 A0:50	 A1:380	 A2:110

3.00	 B0:160	 B1:324	 B2:114
2.90	 C0:70	 C1:155	 C2:479
2.90	 D0:50	 D1:414	 D2:134
2.90	 A0:50	 A1:380	 A2:110

3.03	 B0:160	 B1:323	 B2:115
2.93	 C0:70	 C1:155	 C2:479
2.93	 D0:50	 D1:414	 D2:134
2.93	 A0:50	 A1:380	 A2:110

3.06	 B0:160	 B1:324	 B2:114
2.96	 C0:70	 C1:155	 C2:479
2.96	 D0:50	 D1:414	 D2:134
2.96	 A0:50	 A1:380	 A2:110

3.09	 B0:160	 B1:323	 B2:114
2.99	 C0:70	 C1:155	 C2:479
2.99	 D0:50	 D1:414	 D2:134
2.99	 A0:50	 A1:380	 A2:110

3.12	 B0:160	 B1:323	 B2:115
3.02	 C0:70	 C1:155	 C2:479
3.02	 D0:50	 D1:414	 D2:134
3.02	 A0:50	 A1:380	 A2:110

3.16	 B0:160	 B1:324	 B2:114
3.05	 C0:70	 C1:155	 C2:479
3.05	 D0:50	 D1:414	 D2:134
3.05	 A0:50	 A1:380	 A2:110

3.19	 B0:160	 B1:323	 B2:114
3.08	 C0:70	 C1:155	 C2:479
3.08	 D0:50	 D1:414	 D2:134
3.08	 A0:50	 A1:380	 A2:110

3.22	 B0:160	 B1:324	 B2:114
3.11	 C0:70	 C1:155	 C2:479
3.11	 D0:50	 D1:414	 D2:134
3.11	 A0:50	 A1:380	 A2:110

3.25	 B0:160	 B1:324	 B2:114
3.14	 C0:70	 C1:155	 C2:479
3.14	 D0:50	 D1:414	 D2:135
3.14	 A0:50	 A1:380	 A2:110

3.28	 B0:160	 B1:323	 B2:114
3.17	 C0:70	 C1:155	 C2:479
3.17	 D0:50	 D1:414	 D2:135
3.17	 A0:50	 A1:380	 A2:110

3.31	 B0:160	 B1:323	 B2:114
3.20	 C0:70	 C1:155	 C2:479
3.20	 D0:50	 D1:414	 D2:135
3.20	 A0:50	 A1:380	 A2:109

3.34	 B0:160	 B1:323	 B2:115
3.23	 C0:70	 C1:155	 C2:479
3.23	 D0:50	 D1:414	 D2:134
3.23	 A0:50	 A1:380	 A2:110

3.37	 B0:160	 B1:324	 B2:114
3.26	 C0:70	 C1:154	 C2:479
3.26	 D0:50	 D1:414	 D2:135
3.26	 A0:50	 A1:380	 A2:110

3.40	 B0:160	 B1:324	 B2:114
3.29	 C0:70	 C1:154	 C2:479
3.29	 D0:50	 D1:414	 D2:135
3.29	 A0:50	 A1:380	 A2:110

3.44	 B0:160	 B1:324	 B2:114
3.32	 C0:70	 C1:155	 C2:479
3.32	 D0:50	 D1:414	 D2:134
3.32	 A0:50	 A1:380	 A2:110

3.47	 B0:160	 B1:323	 B2:114
3.35	 C0:70	 C1:155	 C2:479
3.35	 D0:50	 D1:414	 D2:135
3.35	 A0:50	 A1:380	 A2:110

3.50	 B0:160	 B1:324	 B2:115
3.38	 C0:70	 C1:155	 C2:479
3.38	 D0:50	 D1:414	 D2:135
3.38	 A0:50	 A1:380	 A2:109

3.53	 B0:160	 B1:323	 B2:114
3.41	 C0:70	 C1:155	 C2:479
3.41	 D0:50	 D1:414	 D2:134
3.41	 A0:50	 A1:380	 A2:110

3.56	 B0:160	 B1:323	 B2:114
3.44	 C0:70	 C1:155	 C2:479
3.44	 D0:50	 D1:414	 D2:134
3.44	 A0:50	 A1:380	 A2:110

3.59	 B0:160	 B1:323	 B2:114
3.47	 C0:70	 C1:155	 C2:479
3.47	 D0:50	 D1:414	 D2:135
3.47	 A0:50	 A1:380	 A2:110

3.62	 B0:160	 B1:324	 B2:114
3.50	 C0:70	 C1:154	 C2:479
3.50	 D0:50	 D1:414	 D2:135
3.50	 A0:50	 A1:380	 A2:110

3.65	 B0:160	 B1:323	 B2:115
3.53	 C0:70	 C1:154	 C2:479
3.53	 D0:50	 D1:414	 D2:135
3.53	 A0:50	 A1:380	 A2:109

3.69	 B0:160	 B1:324	 B2:114
3.56	 C0:70	 C1:155	 C2:479
3.56	 D0:50	 D1:414	 D2:135
3.56	 A0:50	 A1:380	 A2:110

3.72	 B0:160	 B1:324	 B2:114
3.59	 C0:70	 C1:154	 C2:479
