4.49	 D0:17	 D1:97	 D2:87

5.03	 C0:718	 C1:750	 C2:124
4.52	 D0:17	 D1:97	 D2:87

5.06	 C0:718	 C1:750	 C2:125
4.55	 D0:17	 D1:97	 D2:87

5.09	 C0:718	 C1:750	 C2:124
4.57	 D0:18	 D1:97	 D2:87

5.12	 C0:718	 C1:750	 C2:124
4.60	 D0:18	 D1:97	 D2:87

5.15	 C0:718	 C1:750	 C2:124
4.63	 D0:17	 D1:97	 D2:87

5.18	 C0:718	 C1:750	 C2:124
4.66	 D0:17	 D1:97	 D2:87

5.22	 C0:718	 C1:750	 C2:124
4.69	 D0:17	 D1:97	 D2:88

5.25	 C0:718	 C1:750	 C2:124
4.72	 D0:17	 D1:97	 D2:87

5.28	 C0:718	 C1:750	 C2:124
4.74	 D0:17	 D1:97	 D2:87

5.31	 C0:718	 C1:750	 C2:124
4.77	 D0:17	 D1:97	 D2:88

5.34	 C0:718	 C1:750	 C2:124
4.80	 D0:17	 D1:97	 D2:87

5.37	 C0:718	 C1:750	 C2:124
4.83	 D0:18	 D1:97	 D2:87

5.40	 C0:718	 C1:750	 C2:124
4.86	 D0:17	 D1:97	 D2:88

5.43	 C0:718	 C1:750	 C2:124
4.88	 D0:17	 D1:97	 D2:87

5.46	 C0:718	 C1:750	 C2:124
4.91	 D0:17	 D1:97	 D2:88

5.50	 C0:718	 C1:750	 C2:124
4.94	 D0:18	 D1:97	 D2:87

5.53	 C0:718	 C1:750	 C2:125
4.97	 D0:18	 D1:97	 D2:88

5.56	 C0:718	 C1:750	 C2:124
5.00	 D0:17	 D1:97	 D2:88

5.59	 C0:718	 C1:750	 C2:124
5.02	 D0:17	 D1:97	 D2:88

5.62	 C0:718	 C1:750	 C2:124
5.05	 D0:17	 D1:97	 D2:88

5.65	 C0:718	 C1:750	 C2:125
5.08	 D0:17	 D1:97	 D2:88

5.68	 C0:718	 C1:751	 C2:125
5.11	 D0:18	 D1:97	 D2:87

5.71	 C0:718	 C1:751	 C2:124
5.14	 D0:17	 D1:97	 D2:88

5.75	 C0:718	 C1:750	 C2:124
5.17	 D0:17	 D1:97	 D2:88

5.78	 C0:718	 C1:750	 C2:124
5.19	 D0:18	 D1:97	 D2:88

5.81	 C0:718	 C1:750	 C2:125
5.22	 D0:17	 D1:97	 D2:88

5.84	 C0:718	 C1:750	 C2:124
5.25	 D0:17	 D1:97	 D2:88

5.87	 C0:718	 C1:750	 C2:124
5.28	 D0:17	 D1:97	 D2:88

5.90	 C0:718	 C1:750	 C2:125
5.30	 D0:17	 D1:97	 D2:88

5.93	 C0:718	 C1:750	 C2:124
5.33	 D0:17	 D1:97	 D2:88

5.96	 C0:718	 C1:751	 C2:125
5.36	 D0:17	 D1:97	 D2:88

5.99	 C0:718	 C1:750	 C2:124
5.39	 D0:17	 D1:97	 D2:88

6.03	 C0:718	 C1:750	 C2:125
5.42	 D0:18	 D1:97	 D2:88

6.06	 C0:718	 C1:750	 C2:124
5.45	 D0:17	 D1:97	 D2:88

6.09	 C0:718	 C1:750	 C2:124
5.47	 D0:17	 D1:97	 D2:88

6.12	 C0:718	 C1:750	 C2:124
5.50	 D0:18	 D1:97	 D2:88

6.15	 C0:718	 C1:750	 C2:124
5.53	 D0:17	 D1:97	 D2:88

6.18	 C0:718	 C1:751	 C2:124
5.56	 D0:17	 D1:97	 D2:88

6.21	 C0:718	 C1:751	 C2:124
5.59	 D0:18	 D1:97	 D2:88

6.24	 C0:718	 C1:750	 C2:124
5.61	 D0:17	 D1:97	 D2:88

6.28	 C0:718	 C1:750	 C2:124
5.64	 D0:17	 D1:97	 D2:88

6.31	 C0:718	 C1:750	 C2:124
5.67	 D0:18	 D1:97	 D2:88

6.34	 C0:718	 C1:751	 C2:124
5.70	 D0:17	 D1:97	 D2:88

6.37	 C0:718	 C1:750	 C2:124
5.73	 D0:17	 D1:97	 D2:88

6.40	 C0:718	 C1:750	 C2:125
5.75	 D0:17	 D1:97	 D2:88

6.43	 C0:718	 C1:750	 C2:124
5.78	 D0:17	 D1:97	 D2:88

6.46	 C0:718	 C1:750	 C2:124
5.81	 D0:17	 D1:97	 D2:88

6.49	 C0:718	 C1:750	 C2:125
5.84	 D0:18	 D1:97	 D2:88

6.52	 C0:718	 C1:750	 C2:124
5.87	 D0:17	 D1:97	 D2:88

6.56	 C0:718	 C1:750	 C2:124
5.90	 D0:17	 D1:97	 D2:88

6.59	 C0:718	 C1:750	 C2:125
5.92	 D0:17	 D1:97	 D2:88

6.62	 C0:718	 C1:751	 C2:124
5.95	 D0:17	 D1:97	 D2:88

6.65	 C0:718	 C1:750	 C2:124
5.98	 D0:17	 D1:97	 D2:88

6.68	 C0:718	 C1:750	 C2:124
6.01	 D0:17	 D1:97	 D2:88

6.71	 C0:718	 C1:750	 C2:125
6.03	 D0:17	 D1:97	 D2:88

6.74	 C0:718	 C1:750	 C2:124
6.06	 D0:17	 D1:97	 D2:88

6.77	 C0:718	 C1:750	 C2:124
6.09	 D0:18	 D1:97	 D2:88

6.80	 C0:718	 C1:750	 C2:124
6.12	 D0:18	 D1:97	 D2:88

6.84	 C0:718	 C1:750	 C2:124
6.15	 D0:17	 D1:97	 D2:89

6.87	 C0:718	 C1:750	 C2:124
6.18	 D0:18	 D1:97	 D2:88

6.90	 C0:718	 C1:750	 C2:125
6.20	 D0:18	 D1:97	 D2:88

6.93	 C0:718	 C1:750	 C2:124
