1.72	 D0:39	 D1:307	 D2:127
1.66	 A0:39	 A1:324	 A2:89

1.81	 B0:132	 B1:264	 B2:106
1.75	 C0:55	 C1:142	 C2:373
1.75	 D0:40	 D1:307	 D2:127
1.69	 A0:39	 A1:324	 A2:89

1.85	 B0:132	 B1:263	 B2:106
1.78	 C0:55	 C1:142	 C2:373
1.78	 D0:39	 D1:307	 D2:127
1.72	 A0:39	 A1:324	 A2:89

1.88	 B0:132	 B1:264	 B2:106
1.81	 C0:55	 C1:142	 C2:373
1.81	 D0:39	 D1:307	 D2:128
1.75	 A0:39	 A1:324	 A2:89

1.91	 B0:132	 B1:263	 B2:106
1.84	 C0:55	 C1:142	 C2:373
1.84	 D0:39	 D1:307	 D2:127
1.78	 A0:39	 A1:324	 A2:89

1.94	 B0:132	 B1:263	 B2:106
1.87	 C0:55	 C1:142	 C2:373
1.87	 D0:39	 D1:307	 D2:127
1.80	 A0:39	 A1:324	 A2:89

1.97	 B0:132	 B1:263	 B2:106
1.90	 C0:55	 C1:143	 C2:373
1.90	 D0:39	 D1:307	 D2:127
1.84	 A0:39	 A1:324	 A2:89

2.00	 B0:132	 B1:263	 B2:106
1.93	 C0:55	 C1:142	 C2:373
1.93	 D0:39	 D1:307	 D2:127
1.86	 A0:39	 A1:324	 A2:89

2.03	 B0:132	 B1:264	 B2:106
1.96	 C0:55	 C1:142	 C2:373
1.96	 D0:39	 D1:307	 D2:127
1.89	 A0:39	 A1:324	 A2:89

2.06	 B0:132	 B1:263	 B2:106
1.99	 C0:55	 C1:142	 C2:373
1.99	 D0:39	 D1:307	 D2:127
1.92	 A0:39	 A1:324	 A2:89

2.10	 B0:132	 B1:263	 B2:106
2.02	 C0:55	 C1:143	 C2:373
2.02	 D0:39	 D1:307	 D2:127
1.95	 A0:39	 A1:324	 A2:89

2.13	 B0:132	 B1:263	 B2:106
2.05	 C0:55	 C1:142	 C2:373
2.05	 D0:39	 D1:307	 D2:127
1.98	 A0:39	 A1:324	 A2:89

2.16	 B0:132	 B1:263	 B2:106
2.08	 C0:55	 C1:142	 C2:373
2.08	 D0:39	 D1:307	 D2:127
2.01	 A0:39	 A1:324	 A2:89

2.19	 B0:132	 B1:264	 B2:106
2.11	 C0:55	 C1:142	 C2:373
2.11	 D0:39	 D1:307	 D2:127
2.04	 A0:39	 A1:324	 A2:89

2.22	 B0:132	 B1:264	 B2:106
2.14	 C0:55	 C1:142	 C2:373
2.14	 D0:39	 D1:307	 D2:127
2.07	 A0:39	 A1:324	 A2:89

2.25	 B0:132	 B1:263	 B2:106
2.17	 C0:55	 C1:143	 C2:373
2.17	 D0:39	 D1:307	 D2:127
2.10	 A0:39	 A1:324	 A2:89

2.28	 B0:132	 B1:264	 B2:106
2.20	 C0:55	 C1:142	 C2:373
2.20	 D0:39	 D1:307	 D2:127
2.13	 A0:39	 A1:324	 A2:89

2.31	 B0:132	 B1:264	 B2:106
2.23	 C0:55	 C1:142	 C2:373
2.23	 D0:39	 D1:307	 D2:127
2.16	 A0:39	 A1:324	 A2:89

2.34	 B0:132	 B1:263	 B2:106
2.26	 C0:55	 C1:142	 C2:373
2.26	 D0:40	 D1:307	 D2:127
2.18	 A0:39	 A1:324	 A2:89

2.38	 B0:132	 B1:264	 B2:106
2.29	 C0:55	 C1:143	 C2:373
2.29	 D0:39	 D1:307	 D2:127
2.21	 A0:39	 A1:324	 A2:89

2.41	 B0:132	 B1:264	 B2:106
2.32	 C0:55	 C1:142	 C2:373
2.32	 D0:39	 D1:307	 D2:127
2.24	 A0:39	 A1:324	 A2:89

2.44	 B0:132	 B1:263	 B2:106
2.36	 C0:55	 C1:142	 C2:373
2.36	 D0:40	 D1:307	 D2:127
2.27	 A0:39	 A1:324	 A2:89

2.47	 B0:132	 B1:263	 B2:106
2.38	 C0:55	 C1:142	 C2:373
2.38	 D0:39	 D1:307	 D2:127
2.30	 A0:39	 A1:324	 A2:89

2.50	 B0:132	 B1:263	 B2:106
2.42	 C0:55	 C1:142	 C2:373
2.42	 D0:39	 D1:307	 D2:127
2.33	 A0:39	 A1:324	 A2:89

2.53	 B0:132	 B1:263	 B2:106
2.45	 C0:55	 C1:143	 C2:373
2.45	 D0:39	 D1:307	 D2:127
2.36	 A0:39	 A1:324	 A2:89

2.56	 B0:132	 B1:263	 B2:106
2.48	 C0:55	 C1:142	 C2:373
2.48	 D0:39	 D1:307	 D2:127
2.39	 A0:39	 A1:324	 A2:89

2.59	 B0:132	 B1:264	 B2:106
2.51	 C0:55	 C1:142	 C2:373
2.51	 D0:39	 D1:307	 D2:127
2.42	 A0:39	 A1:324	 A2:89

2.63	 B0:132	 B1:264	 B2:106
2.54	 C0:55	 C1:142	 C2:373
2.54	 D0:39	 D1:307	 D2:127
2.45	 A0:39	 A1:324	 A2:89

2.66	 B0:132	 B1:264	 B2:106
2.57	 C0:55	 C1:142	 C2:373
2.57	 D0:39	 D1:307	 D2:127
2.48	 A0:39	 A1:324	 A2:89

2.69	 B0:132	 B1:263	 B2:106
2.60	 C0:55	 C1:142	 C2:373
2.60	 D0:39	 D1:307	 D2:127
2.50	 A0:39	 A1:324	 A2:89

2.72	 B0:132	 B1:264	 B2:106
2.63	 C0:55	 C1:142	 C2:373
2.63	 D0:39	 D1:307	 D2:127
2.53	 A0:39	 A1:324	 A2:89

2.75	 B0:132	 B1:263	 B2:106
2.66	 C0:55	 C1:142	 C2:373
2.66	 D0:39	 D1:307	 D2:127
2.56	 A0:39	 A1:324	 A2:89

2.78	 B0:132	 B1:263	 B2:106
2.69	 C0:55	 C1:142	 C2:373
2.69	 D0:39	 D1:307	 D2:127
2.59	 A0:39	 A1:324	 A2:89

2.81	 B0:132	 B1:264	 B2:106
2.72	 C0:55	 C1:143	 C2:373
2.72	 D0:40	 D1:307	 D2:127
2.62	 A0:39	 A1:324	 A2:89

2.84	 B0:132	 B1:264	 B2:106
2.75	 C0:55	 C1:142	 C2:373
2.75	 D0:39	 D1:307	 D2:127
2.65	 A0:39	 A1:324	 A2:89

2.87	 B0:132	 B1:263	 B2:106
2.78	 C0:55	 C1:142	 C2:373
2.78	 D0:39	 D1:307	 D2:127
2.68	 A0:39	 A1:324	 A2:89

2.91	 B0:132	 B1:263	 B2:106
2.81	 C0:55	 C1:142	 C2:373
2.81	 D0:39	 D1:307	 D2:127
2.71	 A0:39	 A1:324	 A2:88

2.94	 B0:132	 B1:263	 B2:106
2.84	 C0:55	 C1:142	 C2:373
2.84	 D0:39	 D1:307	 D2:127
2.74	 A0:39	 A1:324	 A2:89

2.97	 B0:132	 B1:264	 B2:106
2.87	 C0:55	 C1:142	 C2:373
2.87	 D0:39	 D1:307	 D2:127
2.77	 A0:39	 A1:324	 A2:88

3.00	 B0:132	 B1:263	 B2:106
2.90	 C0:55	 C1:142	 C2:373
