1.60	 C0:59	 C1:263	 C2:114
1.60	 A0:76	 A1:488	 A2:208
1.66	 B0:207	 B1:296	 B2:129
1.54	 D0:19	 D1:110	 D2:47

1.63	 C0:59	 C1:263	 C2:114
1.63	 A0:76	 A1:488	 A2:208
1.69	 B0:207	 B1:296	 B2:129
1.57	 D0:19	 D1:110	 D2:47

1.66	 C0:58	 C1:263	 C2:113
1.66	 A0:76	 A1:488	 A2:207
1.72	 B0:207	 B1:296	 B2:129
1.60	 D0:19	 D1:110	 D2:47

1.69	 C0:59	 C1:263	 C2:114
1.69	 A0:77	 A1:488	 A2:208
1.75	 B0:207	 B1:296	 B2:129
1.63	 D0:19	 D1:110	 D2:47

1.72	 C0:58	 C1:263	 C2:113
1.72	 A0:76	 A1:488	 A2:207
1.78	 B0:207	 B1:296	 B2:129
1.66	 D0:19	 D1:110	 D2:47

1.75	 C0:59	 C1:263	 C2:114
1.75	 A0:77	 A1:489	 A2:207
1.81	 B0:207	 B1:296	 B2:129
1.69	 D0:19	 D1:110	 D2:47

1.78	 C0:59	 C1:263	 C2:114
1.78	 A0:76	 A1:488	 A2:208
1.85	 B0:207	 B1:296	 B2:129
1.72	 D0:19	 D1:110	 D2:47

1.81	 C0:59	 C1:263	 C2:114
1.81	 A0:76	 A1:488	 A2:208
1.88	 B0:207	 B1:296	 B2:129
1.75	 D0:19	 D1:110	 D2:47

1.84	 C0:59	 C1:263	 C2:114
1.84	 A0:76	 A1:488	 A2:208
1.91	 B0:207	 B1:296	 B2:129
1.78	 D0:19	 D1:110	 D2:47

1.87	 C0:58	 C1:263	 C2:113
1.87	 A0:76	 A1:488	 A2:208
1.94	 B0:207	 B1:296	 B2:129
1.80	 D0:19	 D1:110	 D2:47

1.90	 C0:58	 C1:263	 C2:113
1.90	 A0:76	 A1:489	 A2:207
1.97	 B0:207	 B1:296	 B2:129
1.84	 D0:19	 D1:110	 D2:47

1.93	 C0:59	 C1:263	 C2:114
1.93	 A0:76	 A1:488	 A2:207
2.00	 B0:207	 B1:296	 B2:129
1.86	 D0:19	 D1:110	 D2:47

1.96	 C0:58	 C1:263	 C2:114
1.96	 A0:76	 A1:488	 A2:208
2.03	 B0:207	 B1:296	 B2:129
1.89	 D0:19	 D1:110	 D2:47

1.99	 C0:58	 C1:263	 C2:113
1.99	 A0:76	 A1:488	 A2:208
2.06	 B0:207	 B1:296	 B2:129
1.92	 D0:19	 D1:110	 D2:47

2.02	 C0:59	 C1:263	 C2:113
2.02	 A0:76	 A1:489	 A2:207
2.10	 B0:207	 B1:296	 B2:129
1.95	 D0:19	 D1:110	 D2:47

2.05	 C0:58	 C1:263	 C2:114
2.05	 A0:76	 A1:488	 A2:207
2.13	 B0:207	 B1:296	 B2:129
1.98	 D0:19	 D1:110	 D2:47

2.08	 C0:59	 C1:263	 C2:114
2.08	 A0:76	 A1:489	 A2:207
2.16	 B0:207	 B1:296	 B2:129
2.01	 D0:19	 D1:110	 D2:47

2.11	 C0:59	 C1:263	 C2:114
2.11	 A0:76	 A1:488	 A2:207
2.19	 B0:207	 B1:296	 B2:129
2.04	 D0:19	 D1:110	 D2:47

2.14	 C0:59	 C1:263	 C2:114
2.14	 A0:76	 A1:488	 A2:208
2.22	 B0:207	 B1:296	 B2:129
2.07	 D0:19	 D1:110	 D2:47

2.17	 C0:59	 C1:263	 C2:114
2.17	 A0:76	 A1:488	 A2:208
2.25	 B0:207	 B1:296	 B2:129
2.10	 D0:19	 D1:110	 D2:47

2.20	 C0:58	 C1:263	 C2:114
2.20	 A0:76	 A1:488	 A2:208
2.28	 B0:207	 B1:296	 B2:129
2.13	 D0:19	 D1:110	 D2:47

2.23	 C0:58	 C1:263	 C2:113
2.23	 A0:76	 A1:489	 A2:208
2.31	 B0:207	 B1:296	 B2:129
2.16	 D0:19	 D1:110	 D2:47

2.26	 C0:58	 C1:263	 C2:114
2.26	 A0:76	 A1:489	 A2:207
2.34	 B0:207	 B1:296	 B2:129
2.18	 D0:19	 D1:110	 D2:47

2.29	 C0:59	 C1:264	 C2:114
2.29	 A0:76	 A1:488	 A2:207
2.38	 B0:207	 B1:296	 B2:129
2.21	 D0:19	 D1:110	 D2:47

2.32	 C0:59	 C1:263	 C2:114
2.32	 A0:76	 A1:489	 A2:208
2.41	 B0:207	 B1:296	 B2:129
2.24	 D0:19	 D1:110	 D2:47

2.36	 C0:59	 C1:263	 C2:114
2.36	 A0:76	 A1:488	 A2:207
2.44	 B0:207	 B1:296	 B2:129
2.27	 D0:19	 D1:110	 D2:47

2.38	 C0:59	 C1:263	 C2:114
2.38	 A0:76	 A1:488	 A2:207
2.47	 B0:207	 B1:296	 B2:129
2.30	 D0:19	 D1:110	 D2:47

2.42	 C0:59	 C1:263	 C2:114
2.42	 A0:76	 A1:489	 A2:208
2.50	 B0:207	 B1:296	 B2:129
2.33	 D0:19	 D1:110	 D2:47

2.45	 C0:59	 C1:263	 C2:114
2.45	 A0:76	 A1:488	 A2:208
2.53	 B0:207	 B1:296	 B2:129
2.36	 D0:19	 D1:110	 D2:47

2.48	 C0:59	 C1:263	 C2:114
2.48	 A0:76	 A1:489	 A2:208
2.56	 B0:207	 B1:296	 B2:129
2.39	 D0:19	 D1:110	 D2:47

2.51	 C0:58	 C1:263	 C2:114
2.51	 A0:76	 A1:489	 A2:207
2.59	 B0:207	 B1:296	 B2:129
2.42	 D0:19	 D1:110	 D2:47

2.54	 C0:58	 C1:263	 C2:114
2.54	 A0:76	 A1:489	 A2:207
2.63	 B0:207	 B1:296	 B2:129
2.45	 D0:19	 D1:110	 D2:47

2.57	 C0:58	 C1:263	 C2:114
2.57	 A0:76	 A1:489	 A2:207
2.66	 B0:207	 B1:296	 B2:129
2.48	 D0:19	 D1:110	 D2:47

2.60	 C0:59	 C1:263	 C2:114
2.60	 A0:76	 A1:488	 A2:208
2.69	 B0:207	 B1:296	 B2:129
2.50	 D0:19	 D1:110	 D2:47

2.63	 C0:58	 C1:263	 C2:114
2.63	 A0:76	 A1:489	 A2:208
2.72	 B0:207	 B1:296	 B2:128
2.53	 D0:19	 D1:110	 D2:47

2.66	 C0:59	 C1:263	 C2:114
2.66	 A0:76	 A1:488	 A2:208
2.75	 B0:207	 B1:296	 B2:129
2.56	 D0:19	 D1:110	 D2:47

2.69	 C0:58	 C1:263	 C2:114
2.69	 A0:76	 A1:489	 A2:208
2.78	 B0:207	 B1:296	 B2:129
2.59	 D0:19	 D1:110	 D2:47

2.72	 C0:58	 C1:263	 C2:113
2.72	 A0:76	 A1:488	 A2:208
2.81	 B0:207	 B1:296	 B2:129
2.62	 D0:19	 D1:110	 D2:47

2.75	 C0:58	 C1:263	 C2:114
2.75	 A0:76	 A1:489	 A2:207
2.84	 B0:207	 B1:296	 B2:129
2.65	 D0:19	 D1:110	 D2:47

2.78	 C0:58	 C1:263	 C2:114
