2.11	 D0:34	 D1:258	 D2:108
2.19	 A0:740	 A1:770	 A2:115

2.22	 B0:227	 B1:310	 B2:229
2.14	 C0:58	 C1:140	 C2:360
2.14	 D0:34	 D1:258	 D2:108
2.22	 A0:740	 A1:770	 A2:115

2.25	 B0:214	 B1:310	 B2:229
2.17	 C0:58	 C1:141	 C2:360
2.17	 D0:34	 D1:258	 D2:108
2.25	 A0:740	 A1:770	 A2:115

2.28	 B0:215	 B1:310	 B2:229
2.20	 C0:58	 C1:140	 C2:360
2.20	 D0:34	 D1:258	 D2:108
2.28	 A0:740	 A1:770	 A2:115

2.31	 B0:221	 B1:311	 B2:229
2.23	 C0:59	 C1:141	 C2:360
2.23	 D0:34	 D1:258	 D2:108
2.31	 A0:740	 A1:770	 A2:115

2.34	 B0:224	 B1:311	 B2:229
2.26	 C0:58	 C1:140	 C2:360
2.26	 D0:34	 D1:258	 D2:108
2.34	 A0:740	 A1:770	 A2:115

2.38	 B0:227	 B1:310	 B2:229
2.29	 C0:58	 C1:140	 C2:360
2.29	 D0:34	 D1:258	 D2:108
2.38	 A0:740	 A1:770	 A2:115

2.41	 B0:236	 B1:310	 B2:229
2.32	 C0:58	 C1:141	 C2:360
2.32	 D0:34	 D1:258	 D2:108
2.41	 A0:740	 A1:770	 A2:115

2.44	 B0:238	 B1:310	 B2:229
2.36	 C0:58	 C1:141	 C2:360
2.36	 D0:34	 D1:258	 D2:108
2.44	 A0:740	 A1:770	 A2:115

2.47	 B0:228	 B1:310	 B2:229
2.38	 C0:58	 C1:141	 C2:360
2.38	 D0:35	 D1:258	 D2:108
2.47	 A0:740	 A1:770	 A2:115

2.50	 B0:215	 B1:310	 B2:229
2.42	 C0:58	 C1:140	 C2:360
2.42	 D0:34	 D1:258	 D2:108
2.50	 A0:740	 A1:770	 A2:115

2.53	 B0:214	 B1:310	 B2:229
2.45	 C0:58	 C1:140	 C2:360
2.45	 D0:34	 D1:258	 D2:108
2.53	 A0:740	 A1:770	 A2:115

2.56	 B0:220	 B1:310	 B2:229
2.48	 C0:58	 C1:140	 C2:360
2.48	 D0:34	 D1:258	 D2:108
2.56	 A0:740	 A1:771	 A2:115

2.59	 B0:224	 B1:310	 B2:229
2.51	 C0:58	 C1:140	 C2:360
2.51	 D0:34	 D1:258	 D2:108
2.59	 A0:740	 A1:770	 A2:115

2.63	 B0:227	 B1:311	 B2:229
2.54	 C0:58	 C1:140	 C2:360
2.54	 D0:34	 D1:258	 D2:108
2.63	 A0:740	 A1:770	 A2:115

2.66	 B0:235	 B1:310	 B2:229
2.57	 C0:58	 C1:140	 C2:360
2.57	 D0:34	 D1:258	 D2:108
2.66	 A0:740	 A1:770	 A2:115

2.69	 B0:238	 B1:310	 B2:229
2.60	 C0:58	 C1:141	 C2:360
2.60	 D0:35	 D1:258	 D2:108
2.69	 A0:740	 A1:770	 A2:115

2.72	 B0:229	 B1:310	 B2:229
2.63	 C0:58	 C1:140	 C2:360
2.63	 D0:34	 D1:258	 D2:108
2.72	 A0:740	 A1:770	 A2:115

2.75	 B0:216	 B1:310	 B2:229
2.66	 C0:58	 C1:140	 C2:360
2.66	 D0:34	 D1:258	 D2:108
2.75	 A0:740	 A1:770	 A2:115

2.78	 B0:213	 B1:310	 B2:229
2.69	 C0:58	 C1:141	 C2:360
2.69	 D0:34	 D1:258	 D2:108
2.78	 A0:740	 A1:770	 A2:115

2.81	 B0:219	 B1:310	 B2:229
2.72	 C0:58	 C1:140	 C2:360
2.72	 D0:34	 D1:258	 D2:108
2.81	 A0:740	 A1:770	 A2:115

2.84	 B0:223	 B1:310	 B2:229
2.75	 C0:58	 C1:140	 C2:360
2.75	 D0:34	 D1:258	 D2:108
2.84	 A0:740	 A1:770	 A2:115

2.87	 B0:226	 B1:310	 B2:229
2.78	 C0:58	 C1:140	 C2:360
2.78	 D0:34	 D1:258	 D2:108
2.87	 A0:740	 A1:770	 A2:115

2.91	 B0:233	 B1:310	 B2:229
2.81	 C0:58	 C1:140	 C2:360
2.81	 D0:34	 D1:258	 D2:108
2.91	 A0:740	 A1:770	 A2:115

2.94	 B0:238	 B1:310	 B2:229
2.84	 C0:58	 C1:141	 C2:360
2.84	 D0:34	 D1:258	 D2:108
2.94	 A0:740	 A1:770	 A2:115

2.97	 B0:231	 B1:310	 B2:229
2.87	 C0:58	 C1:140	 C2:360
2.87	 D0:34	 D1:258	 D2:108
2.97	 A0:740	 A1:770	 A2:115

3.00	 B0:218	 B1:310	 B2:229
2.90	 C0:58	 C1:140	 C2:360
2.90	 D0:34	 D1:258	 D2:108
3.00	 A0:740	 A1:770	 A2:115

3.03	 B0:212	 B1:311	 B2:229
2.93	 C0:58	 C1:141	 C2:360
2.93	 D0:35	 D1:258	 D2:108
3.03	 A0:740	 A1:770	 A2:115

3.06	 B0:219	 B1:310	 B2:229
2.96	 C0:58	 C1:141	 C2:360
2.96	 D0:34	 D1:258	 D2:108
3.06	 A0:740	 A1:770	 A2:115

3.09	 B0:223	 B1:310	 B2:229
2.99	 C0:58	 C1:140	 C2:360
2.99	 D0:34	 D1:258	 D2:108
3.09	 A0:740	 A1:770	 A2:115

3.12	 B0:226	 B1:310	 B2:229
3.02	 C0:58	 C1:140	 C2:360
3.02	 D0:34	 D1:258	 D2:108
