2.90	 B0:28	 B1:294	 B2:206

2.90	 C0:51	 C1:128	 C2:334

2.90	 D0:33	 D1:247	 D2:105

3.08	 A0:729	 A1:761	 A2:98


2.93	 B0:28	 B1:295	 B2:206

2.93	 C0:51	 C1:128	 C2:334

2.93	 D0:33	 D1:246	 D2:105

3.11	 A0:729	 A1:761	 A2:98


2.96	 B0:27	 B1:294	 B2:206

2.96	 C0:51	 C1:128	 C2:334

2.96	 D0:33	 D1:247	 D2:105

3.14	 A0:729	 A1:761	 A2:98


2.99	 B0:28	 B1:294	 B2:206

2.99	 C0:51	 C1:128	 C2:334

2.99	 D0:33	 D1:247	 D2:105

3.17	 A0:729	 A1:761	 A2:98


3.02	 B0:28	 B1:294	 B2:206

3.02	 C0:51	 C1:128	 C2:334

3.02	 D0:33	 D1:247	 D2:105

3.20	 A0:729	 A1:761	 A2:98


3.05	 B0:27	 B1:294	 B2:206

3.05	 C0:51	 C1:128	 C2:334

3.05	 D0:33	 D1:247	 D2:105

3.23	 A0:729	 A1:761	 A2:98


3.08	 B0:27	 B1:295	 B2:206

3.08	 C0:51	 C1:128	 C2:334

3.08	 D0:33	 D1:247	 D2:105

3.26	 A0:729	 A1:761	 A2:98


3.11	 B0:27	 B1:294	 B2:206

3.11	 C0:51	 C1:128	 C2:334

3.11	 D0:33	 D1:247	 D2:105

3.29	 A0:729	 A1:761	 A2:98


3.14	 B0:28	 B1:294	 B2:206

3.14	 C0:50	 C1:128	 C2:334

3.14	 D0:33	 D1:247	 D2:105

3.32	 A0:729	 A1:761	 A2:98


3.17	 B0:27	 B1:294	 B2:206

3.17	 C0:51	 C1:128	 C2:334

3.17	 D0:33	 D1:246	 D2:105

3.35	 A0:729	 A1:761	 A2:98


3.20	 B0:28	 B1:294	 B2:206

3.20	 C0:51	 C1:128	 C2:334

3.20	 D0:33	 D1:247	 D2:105

3.38	 A0:729	 A1:761	 A2:98


3.23	 B0:28	 B1:294	 B2:206

3.23	 C0:51	 C1:128	 C2:334

3.23	 D0:33	 D1:247	 D2:105

3.42	 A0:729	 A1:761	 A2:98


3.26	 B0:27	 B1:294	 B2:206

3.26	 C0:51	 C1:128	 C2:334

3.26	 D0:33	 D1:247	 D2:105

3.44	 A0:729	 A1:761	 A2:98


3.29	 B0:27	 B1:294	 B2:206

3.29	 C0:51	 C1:128	 C2:334

3.29	 D0:33	 D1:246	 D2:105

3.47	 A0:729	 A1:761	 A2:98


3.32	 B0:27	 B1:294	 B2:206

3.32	 C0:51	 C1:128	 C2:334

3.32	 D0:33	 D1:247	 D2:105

3.51	 A0:729	 A1:761	 A2:98


3.35	 B0:28	 B1:294	 B2:206

3.35	 C0:51	 C1:128	 C2:334

3.35	 D0:33	 D1:247	 D2:105

3.53	 A0:729	 A1:761	 A2:98


3.38	 B0:27	 B1:294	 B2:206

3.38	 C0:51	 C1:128	 C2:334

3.38	 D0:33	 D1:246	 D2:105

3.57	 A0:729	 A1:761	 A2:98


3.41	 B0:28	 B1:295	 B2:206

3.41	 C0:51	 C1:128	 C2:334

3.41	 D0:33	 D1:247	 D2:105

3.60	 A0:729	 A1:761	 A2:98


3.44	 B0:28	 B1:294	 B2:206

3.44	 C0:51	 C1:128	 C2:334

3.44	 D0:33	 D1:246	 D2:105

3.63	 A0:729	 A1:761	 A2:98


3.47	 B0:27	 B1:294	 B2:205

3.47	 C0:51	 C1:128	 C2:334

3.47	 D0:33	 D1:247	 D2:105

3.66	 A0:729	 A1:761	 A2:98


3.50	 B0:27	 B1:295	 B2:206

3.50	 C0:51	 C1:128	 C2:334

3.50	 D0:33	 D1:247	 D2:105

3.69	 A0:729	 A1:761	 A2:98


3.53	 B0:28	 B1:294	 B2:206

3.53	 C0:50	 C1:128	 C2:334

3.53	 D0:33	 D1:247	 D2:105

3.72	 A0:729	 A1:761	 A2:98


3.56	 B0:27	 B1:294	 B2:206

3.56	 C0:51	 C1:128	 C2:334

3.56	 D0:33	 D1:247	 D2:105

3.75	 A0:729	 A1:761	 A2:98


3.59	 B0:27	 B1:294	 B2:206

3.59	 C0:51	 C1:128	 C2:334

3.59	 D0:33	 D1:247	 D2:105

3.78	 A0:729	 A1:761	 A2:98


3.62	 B0:27	 B1:294	 B2:206

3.62	 C0:51	 C1:128	 C2:334

3.62	 D0:33	 D1:247	 D2:105

3.81	 A0:729	 A1:761	 A2:98


3.65	 B0:27	 B1:294	 B2:206

