2.51	 D0:28	 D1:128	 D2:124

2.63	 C0:719	 C1:751	 C2:155
2.54	 D0:29	 D1:128	 D2:124

2.66	 C0:719	 C1:751	 C2:154
2.57	 D0:29	 D1:127	 D2:123

2.69	 C0:719	 C1:751	 C2:155
2.60	 D0:29	 D1:127	 D2:124

2.72	 C0:719	 C1:751	 C2:155
2.63	 D0:28	 D1:127	 D2:124

2.75	 C0:719	 C1:751	 C2:154
2.66	 D0:29	 D1:127	 D2:124

2.78	 C0:719	 C1:751	 C2:154
2.69	 D0:28	 D1:127	 D2:124

2.81	 C0:719	 C1:751	 C2:154
2.72	 D0:29	 D1:127	 D2:124

2.84	 C0:719	 C1:751	 C2:155
2.75	 D0:29	 D1:127	 D2:124

2.87	 C0:719	 C1:751	 C2:155
2.78	 D0:29	 D1:127	 D2:124

2.91	 C0:719	 C1:751	 C2:155
2.81	 D0:28	 D1:127	 D2:124

2.94	 C0:718	 C1:751	 C2:154
2.84	 D0:28	 D1:127	 D2:124

2.97	 C0:719	 C1:751	 C2:155
2.87	 D0:29	 D1:128	 D2:124

3.00	 C0:719	 C1:751	 C2:155
2.90	 D0:28	 D1:127	 D2:124

3.03	 C0:719	 C1:751	 C2:155
2.93	 D0:28	 D1:127	 D2:124

3.06	 C0:719	 C1:751	 C2:155
2.96	 D0:28	 D1:127	 D2:124

3.09	 C0:719	 C1:751	 C2:155
2.99	 D0:28	 D1:127	 D2:124

3.12	 C0:719	 C1:751	 C2:155
3.02	 D0:28	 D1:127	 D2:124

3.16	 C0:719	 C1:751	 C2:155
3.05	 D0:28	 D1:127	 D2:124

3.19	 C0:719	 C1:751	 C2:154
3.08	 D0:28	 D1:127	 D2:124

3.22	 C0:719	 C1:751	 C2:155
3.11	 D0:28	 D1:127	 D2:124

3.25	 C0:719	 C1:751	 C2:155
3.14	 D0:29	 D1:127	 D2:124

3.28	 C0:719	 C1:751	 C2:155
3.17	 D0:29	 D1:127	 D2:124

3.31	 C0:719	 C1:751	 C2:155
3.20	 D0:28	 D1:127	 D2:124

3.34	 C0:719	 C1:751	 C2:155
3.23	 D0:28	 D1:127	 D2:124

3.37	 C0:719	 C1:751	 C2:154
3.26	 D0:29	 D1:127	 D2:124

3.40	 C0:719	 C1:751	 C2:155
3.29	 D0:28	 D1:128	 D2:124

3.44	 C0:719	 C1:751	 C2:155
3.32	 D0:28	 D1:127	 D2:124

3.47	 C0:719	 C1:751	 C2:154
3.35	 D0:28	 D1:127	 D2:124

3.50	 C0:718	 C1:751	 C2:154
3.38	 D0:28	 D1:127	 D2:124

3.53	 C0:719	 C1:751	 C2:154
3.41	 D0:29	 D1:127	 D2:124

3.56	 C0:719	 C1:751	 C2:155
3.44	 D0:28	 D1:127	 D2:124

3.59	 C0:719	 C1:751	 C2:154
3.47	 D0:28	 D1:127	 D2:124

3.62	 C0:719	 C1:751	 C2:154
3.50	 D0:29	 D1:127	 D2:124

3.65	 C0:719	 C1:751	 C2:155
3.53	 D0:28	 D1:127	 D2:124

3.69	 C0:719	 C1:751	 C2:155
3.56	 D0:28	 D1:127	 D2:124

3.72	 C0:719	 C1:751	 C2:155
3.59	 D0:28	 D1:127	 D2:124

3.75	 C0:718	 C1:751	 C2:155
3.62	 D0:28	 D1:127	 D2:125

3.78	 C0:718	 C1:751	 C2:155
3.65	 D0:28	 D1:127	 D2:125

3.81	 C0:719	 C1:751	 C2:155
3.68	 D0:28	 D1:127	 D2:125

3.84	 C0:719	 C1:751	 C2:155
3.71	 D0:28	 D1:127	 D2:124

3.87	 C0:719	 C1:751	 C2:155
3.74	 D0:28	 D1:127	 D2:124

3.90	 C0:719	 C1:751	 C2:155
3.77	 D0:28	 D1:127	 D2:124

3.94	 C0:719	 C1:751	 C2:154
3.80	 D0:28	 D1:127	 D2:124

3.97	 C0:719	 C1:751	 C2:154
3.83	 D0:28	 D1:127	 D2:124

4.00	 C0:719	 C1:751	 C2:154
3.86	 D0:28	 D1:127	 D2:125

4.03	 C0:719	 C1:751	 C2:154
3.89	 D0:29	 D1:127	 D2:125

4.06	 C0:719	 C1:751	 C2:154
3.92	 D0:28	 D1:127	 D2:125

4.09	 C0:719	 C1:751	 C2:154
3.95	 D0:28	 D1:127	 D2:125

4.12	 C0:719	 C1:751	 C2:154
3.98	 D0:29	 D1:127	 D2:125

4.15	 C0:719	 C1:751	 C2:154
4.01	 D0:28	 D1:127	 D2:124

4.19	 C0:719	 C1:751	 C2:155
4.04	 D0:28	 D1:127	 D2:125

4.22	 C0:719	 C1:751	 C2:155
4.07	 D0:29	 D1:127	 D2:125

4.25	 C0:719	 C1:751	 C2:155
4.10	 D0:28	 D1:127	 D2:125

4.28	 C0:719	 C1:751	 C2:154
4.13	 D0:28	 D1:127	 D2:125

4.31	 C0:719	 C1:751	 C2:154
4.16	 D0:28	 D1:127	 D2:125

