2.17	 A0:726	 A1:757	 A2:72

2.20	 B0:21	 B1:261	 B2:180
2.20	 C0:47	 C1:127	 C2:300
2.20	 D0:31	 D1:231	 D2:110
2.20	 A0:726	 A1:757	 A2:71

2.23	 B0:21	 B1:261	 B2:180
2.23	 C0:47	 C1:128	 C2:300
2.23	 D0:31	 D1:231	 D2:110
2.23	 A0:726	 A1:757	 A2:71

2.26	 B0:21	 B1:261	 B2:180
2.26	 C0:47	 C1:127	 C2:300
2.26	 D0:30	 D1:231	 D2:110
2.26	 A0:725	 A1:758	 A2:71

2.29	 B0:21	 B1:260	 B2:180
2.29	 C0:47	 C1:127	 C2:300
2.29	 D0:30	 D1:231	 D2:110
2.29	 A0:726	 A1:757	 A2:71

2.32	 B0:21	 B1:261	 B2:180
2.32	 C0:47	 C1:127	 C2:300
2.32	 D0:31	 D1:231	 D2:110
2.32	 A0:726	 A1:758	 A2:71

2.36	 B0:21	 B1:261	 B2:180
2.36	 C0:47	 C1:127	 C2:300
2.36	 D0:31	 D1:231	 D2:110
2.36	 A0:726	 A1:757	 A2:71

2.38	 B0:21	 B1:261	 B2:180
2.38	 C0:47	 C1:127	 C2:300
2.38	 D0:30	 D1:231	 D2:110
2.38	 A0:726	 A1:757	 A2:72

2.42	 B0:21	 B1:260	 B2:180
2.42	 C0:47	 C1:127	 C2:300
2.42	 D0:30	 D1:231	 D2:110
2.42	 A0:726	 A1:758	 A2:71

2.45	 B0:21	 B1:261	 B2:180
2.45	 C0:47	 C1:127	 C2:300
2.45	 D0:30	 D1:231	 D2:110
2.45	 A0:726	 A1:757	 A2:71

2.48	 B0:21	 B1:261	 B2:180
2.48	 C0:47	 C1:127	 C2:300
2.48	 D0:31	 D1:231	 D2:110
2.48	 A0:726	 A1:757	 A2:71

2.51	 B0:21	 B1:261	 B2:180
2.51	 C0:47	 C1:128	 C2:300
2.51	 D0:30	 D1:231	 D2:109
2.51	 A0:726	 A1:757	 A2:71

2.54	 B0:21	 B1:261	 B2:180
2.54	 C0:47	 C1:128	 C2:300
2.54	 D0:31	 D1:231	 D2:110
2.54	 A0:726	 A1:757	 A2:71

2.57	 B0:21	 B1:261	 B2:180
2.57	 C0:47	 C1:127	 C2:300
2.57	 D0:30	 D1:231	 D2:109
2.57	 A0:726	 A1:757	 A2:71

2.60	 B0:21	 B1:261	 B2:180
2.60	 C0:47	 C1:127	 C2:300
2.60	 D0:31	 D1:231	 D2:110
2.60	 A0:726	 A1:757	 A2:71

2.63	 B0:21	 B1:261	 B2:180
2.63	 C0:47	 C1:127	 C2:300
2.63	 D0:31	 D1:231	 D2:110
2.63	 A0:726	 A1:757	 A2:71

2.66	 B0:21	 B1:260	 B2:180
2.66	 C0:47	 C1:127	 C2:300
2.66	 D0:30	 D1:231	 D2:110
2.66	 A0:726	 A1:757	 A2:71

2.69	 B0:21	 B1:261	 B2:180
2.69	 C0:47	 C1:127	 C2:300
2.69	 D0:31	 D1:231	 D2:109
2.69	 A0:725	 A1:758	 A2:71

2.72	 B0:21	 B1:260	 B2:180
2.72	 C0:47	 C1:127	 C2:300
2.72	 D0:31	 D1:231	 D2:109
2.72	 A0:726	 A1:758	 A2:71

2.75	 B0:21	 B1:261	 B2:180
2.75	 C0:47	 C1:128	 C2:300
2.75	 D0:30	 D1:231	 D2:110
2.75	 A0:726	 A1:757	 A2:71

2.78	 B0:21	 B1:261	 B2:180
2.78	 C0:47	 C1:127	 C2:300
2.78	 D0:31	 D1:231	 D2:110
2.78	 A0:725	 A1:757	 A2:71

2.81	 B0:21	 B1:261	 B2:180
2.81	 C0:47	 C1:127	 C2:300
2.81	 D0:30	 D1:231	 D2:110
2.81	 A0:726	 A1:757	 A2:72

2.84	 B0:21	 B1:261	 B2:180
2.84	 C0:47	 C1:127	 C2:300
2.84	 D0:31	 D1:231	 D2:110
2.84	 A0:726	 A1:757	 A2:71

2.87	 B0:21	 B1:260	 B2:180
2.87	 C0:47	 C1:127	 C2:300
2.87	 D0:30	 D1:231	 D2:110
2.87	 A0:726	 A1:757	 A2:71

2.90	 B0:21	 B1:261	 B2:180
2.90	 C0:47	 C1:127	 C2:300
2.90	 D0:30	 D1:231	 D2:109
2.90	 A0:725	 A1:757	 A2:71

2.93	 B0:21	 B1:261	 B2:180
2.93	 C0:47	 C1:127	 C2:300
2.93	 D0:30	 D1:231	 D2:110
2.93	 A0:726	 A1:758	 A2:72

2.96	 B0:21	 B1:261	 B2:180
2.96	 C0:47	 C1:127	 C2:300
2.96	 D0:30	 D1:231	 D2:110
2.96	 A0:726	 A1:757	 A2:71

2.99	 B0:21	 B1:260	 B2:180
2.99	 C0:47	 C1:127	 C2:300
2.99	 D0:30	 D1:231	 D2:109
2.99	 A0:726	 A1:757	 A2:71

3.02	 B0:21	 B1:260	 B2:180
3.02	 C0:47	 C1:127	 C2:300
3.02	 D0:31	 D1:231	 D2:110
3.02	 A0:725	 A1:757	 A2:71

3.05	 B0:21	 B1:261	 B2:180
3.05	 C0:47	 C1:127	 C2:300
3.05	 D0:30	 D1:231	 D2:110
3.05	 A0:726	 A1:757	 A2:71

3.08	 B0:21	 B1:260	 B2:180
3.08	 C0:47	 C1:127	 C2:300
3.08	 D0:30	 D1:231	 D2:109
3.08	 A0:725	 A1:757	 A2:71

3.11	 B0:21	 B1:261	 B2:180
3.11	 C0:47	 C1:127	 C2:300
3.11	 D0:30	 D1:231	 D2:110
3.11	 A0:726	 A1:757	 A2:71

3.14	 B0:21	 B1:261	 B2:180
3.14	 C0:47	 C1:127	 C2:300
3.14	 D0:30	 D1:231	 D2:110
3.14	 A0:726	 A1:758	 A2:71

3.17	 B0:21	 B1:260	 B2:180
3.17	 C0:47	 C1:127	 C2:300
3.17	 D0:30	 D1:231	 D2:110
3.17	 A0:726	 A1:758	 A2:71

3.20	 B0:21	 B1:260	 B2:180
3.20	 C0:47	 C1:127	 C2:300
3.20	 D0:30	 D1:231	 D2:109
3.20	 A0:726	 A1:758	 A2:71

3.23	 B0:21	 B1:260	 B2:180
3.23	 C0:47	 C1:127	 C2:300
3.23	 D0:31	 D1:231	 D2:110
3.23	 A0:726	 A1:758	 A2:71

3.26	 B0:22	 B1:261	 B2:180
3.26	 C0:47	 C1:127	 C2:300
3.26	 D0:30	 D1:231	 D2:110
3.26	 A0:726	 A1:758	 A2:71

3.29	 B0:21	 B1:260	 B2:180
3.29	 C0:47	 C1:127	 C2:300
3.29	 D0:31	 D1:231	 D2:110
3.29	 A0:726	 A1:757	 A2:71

3.32	 B0:21	 B1:260	 B2:180
3.32	 C0:47	 C1:128	 C2:300
3.32	 D0:30	 D1:231	 D2:109
3.32	 A0:726	 A1:757	 A2:71

3.35	 B0:21	 B1:261	 B2:180
