2.96	 A0:16	 A1:210	 A2:48	 T:nan

2.96	 B0:70	 B1:140	 B2:60	 T:nan

3.05	 C0:12	 C1:59	 C2:16	 T:22.20

2.66	 D0:9	 D1:134	 D2:62	 T:nan


3.03	 A0:16	 A1:210	 A2:49	 T:nan

3.03	 B0:70	 B1:140	 B2:60	 T:nan

3.12	 C0:13	 C1:59	 C2:16	 T:22.20

2.73	 D0:9	 D1:134	 D2:62	 T:nan


3.11	 A0:16	 A1:210	 A2:49	 T:nan

3.11	 B0:70	 B1:140	 B2:60	 T:nan

3.20	 C0:13	 C1:60	 C2:17	 T:22.20

2.80	 D0:9	 D1:134	 D2:62	 T:nan


3.18	 A0:16	 A1:209	 A2:49	 T:nan

3.18	 B0:70	 B1:140	 B2:60	 T:nan

3.27	 C0:13	 C1:60	 C2:16	 T:22.20

2.87	 D0:9	 D1:134	 D2:62	 T:nan


3.25	 A0:16	 A1:210	 A2:49	 T:nan

3.25	 B0:70	 B1:140	 B2:60	 T:nan

3.35	 C0:13	 C1:59	 C2:16	 T:22.20

2.95	 D0:9	 D1:134	 D2:62	 T:nan


3.33	 A0:15	 A1:209	 A2:48	 T:nan

3.33	 B0:70	 B1:140	 B2:60	 T:nan

3.42	 C0:13	 C1:59	 C2:16	 T:22.20

3.02	 D0:9	 D1:134	 D2:62	 T:nan


3.40	 A0:16	 A1:210	 A2:48	 T:nan

3.40	 B0:70	 B1:140	 B2:60	 T:nan

3.50	 C0:14	 C1:59	 C2:16	 T:22.20

3.09	 D0:9	 D1:134	 D2:62	 T:nan


3.47	 A0:16	 A1:210	 A2:49	 T:nan

3.47	 B0:70	 B1:140	 B2:60	 T:nan

3.57	 C0:13	 C1:60	 C2:16	 T:22.20

3.16	 D0:9	 D1:134	 D2:62	 T:nan


3.54	 A0:16	 A1:210	 A2:49	 T:nan

3.54	 B0:70	 B1:140	 B2:60	 T:nan

3.65	 C0:13	 C1:59	 C2:17	 T:22.20

3.23	 D0:9	 D1:134	 D2:62	 T:nan


3.62	 A0:16	 A1:210	 A2:48	 T:nan

3.62	 B0:70	 B1:140	 B2:60	 T:nan

3.72	 C0:13	 C1:59	 C2:17	 T:22.20

3.30	 D0:9	 D1:134	 D2:62	 T:nan


3.69	 A0:16	 A1:210	 A2:48	 T:nan

3.69	 B0:70	 B1:140	 B2:60	 T:nan

3.80	 C0:12	 C1:60	 C2:16	 T:22.20

3.37	 D0:9	 D1:134	 D2:62	 T:nan


3.76	 A0:16	 A1:210	 A2:49	 T:nan

3.76	 B0:70	 B1:140	 B2:60	 T:nan

3.87	 C0:12	 C1:60	 C2:16	 T:22.20

3.44	 D0:9	 D1:134	 D2:62	 T:nan


3.83	 A0:16	 A1:209	 A2:49	 T:nan

3.83	 B0:70	 B1:140	 B2:60	 T:nan

3.95	 C0:13	 C1:59	 C2:16	 T:22.20

3.51	 D0:9	 D1:134	 D2:62	 T:nan


3.91	 A0:16	 A1:210	 A2:48	 T:nan

3.91	 B0:70	 B1:140	 B2:60	 T:nan

4.02	 C0:13	 C1:59	 C2:16	 T:22.20

3.58	 D0:9	 D1:134	 D2:62	 T:nan


3.98	 A0:16	 A1:210	 A2:49	 T:nan

3.98	 B0:70	 B1:140	 B2:60	 T:nan

4.10	 C0:13	 C1:59	 C2:16	 T:22.20

3.65	 D0:9	 D1:134	 D2:62	 T:nan


4.07	 A0:16	 A1:210	 A2:48	 T:nan

4.07	 B0:70	 B1:140	 B2:60	 T:nan

4.17	 C0:13	 C1:59	 C2:17	 T:22.20

3.72	 D0:9	 D1:134	 D2:62	 T:nan


4.13	 A0:16	 A1:210	 A2:49	 T:nan

4.13	 B0:70	 B1:140	 B2:60	 T:nan

4.25	 C0:13	 C1:60	 C2:16	 T:22.20

3.79	 D0:9	 D1:134	 D2:62	 T:nan


4.20	 A0:16	 A1:210	 A2:48	 T:nan

4.20	 B0:69	 B1:140	 B2:60	 T:nan

4.32	 C0:13	 C1:60	 C2:17	 T:22.20

3.86	 D0:9	 D1:134	 D2:62	 T:nan


4.27	 A0:16	 A1:210	 A2:48	 T:nan

4.27	 B0:70	 B1:140	 B2:60	 T:nan

4.40	 C0:12	 C1:60	 C2:16	 T:22.20

3.94	 D0:9	 D1:134	 D2:62	 T:nan


4.34	 A0:16	 A1:210	 A2:49	 T:nan

4.34	 B0:69	 B1:140	 B2:60	 T:nan

4.47	 C0:12	 C1:59	 C2:16	 T:22.20

4.01	 D0:9	 D1:134	 D2:62	 T:nan


4.42	 A0:16	 A1:210	 A2:48	 T:nan

4.42	 B0:70	 B1:140	 B2:60	 T:nan

4.55	 C0:13	 C1:60	 C2:16	 T:22.20

4.07	 D0:9	 D1:134	 D2:62	 T:nan


4.49	 A0:16	 A1:210	 A2:48	 T:nan

4.49	 B0:70	 B1:140	 B2:60	 T:nan

4.62	 C0:13	 C1:60	 C2:16	 T:22.20

4.15	 D0:9	 D1:134	 D2:62	 T:nan


4.56	 A0:16	 A1:210	 A2:48	 T:nan

4.56	 B0:70	 B1:140	 B2:60	 T:nan

4.70	 C0:13	 C1:59	 C2:16	 T:22.20

4.22	 D0:9	 D1:134	 D2:62	 T:nan


4.64	 A0:16	 A1:210	 A2:49	 T:nan

4.64	 B0:70	 B1:140	 B2:60	 T:nan

4.77	 C0:13	 C1:60	 C2:16	 T:22.20

4.29	 D0:9	 D1:134	 D2:62	 T:nan


4.71	 A0:16	 A1:209	 A2:49	 T:nan

4.71	 B0:70	 B1:140	 B2:60	 T:nan

4.84	 C0:13	 C1:59	 C2:16	 T:22.20

4.36	 D0:9	 D1:134	 D2:62	 T:nan


4.78	 A0:16	 A1:209	 A2:48	 T:nan

4.78	 B0:70	 B1:140	 B2:60	 T:nan

4.92	 C0:13	 C1:60	 C2:16	 T:22.20

4.43	 D0:9	 D1:134	 D2:62	 T:nan


4.85	 A0:16	 A1:209	 A2:49	 T:nan

4.85	 B0:70	 B1:140	 B2:60	 T:nan

5.00	 C0:13	 C1:59	 C2:16	 T:22.20

4.50	 D0:9	 D1:134	 D2:62	 T:nan


4.93	 A0:16	 A1:210	 A2:48	 T:nan

4.93	 B0:70	 B1:140	 B2:60	 T:nan

5.07	 C0:13	 C1:60	 C2:16	 T:22.20

4.57	 D0:9	 D1:134	 D2:62	 T:nan


5.00	 A0:16	 A1:210	 A2:48	 T:nan

5.00	 B0:70	 B1:140	 B2:60	 T:nan

5.14	 C0:13	 C1:60	 C2:16	 T:22.20

4.64	 D0:9	 D1:134	 D2:62	 T:nan


5.07	 A0:16	 A1:210	 A2:48	 T:nan

5.07	 B0:69	 B1:140	 B2:60	 T:nan

5.22	 C0:13	 C1:60	 C2:16	 T:22.20

4.71	 D0:9	 D1:134	 D2:62	 T:nan


5.15	 A0:16	 A1:210	 A2:49	 T:nan

5.15	 B0:70	 B1:140	 B2:60	 T:nan

5.29	 C0:13	 C1:60	 C2:16	 T:22.20

4.78	 D0:9	 D1:134	 D2:62	 T:nan


5.22	 A0:16	 A1:209	 A2:48	 T:nan

5.22	 B0:70	 B1:140	 B2:60	 T:nan

5.37	 C0:13	 C1:59	 C2:16	 T:22.20

4.85	 D0:9	 D1:134	 D2:62	 T:nan


5.29	 A0:16	 A1:210	 A2:48	 T:nan

5.29	 B0:70	 B1:140	 B2:60	 T:nan

5.44	 C0:13	 C1:59	 C2:16	 T:22.20

4.92	 D0:9	 D1:134	 D2:62	 T:nan


5.36	 A0:16	 A1:209	 A2:48	 T:nan

5.36	 B0:69	 B1:140	 B2:60	 T:nan

5.52	 C0:13	 C1:59	 C2:16	 T:22.20

5.00	 D0:9	 D1:134	 D2:62	 T:nan


5.44	 A0:16	 A1:209	 A2:48	 T:nan

5.44	 B0:70	 B1:140	 B2:60	 T:nan

5.59	 C0:13	 C1:59	 C2:16	 T:22.20

5.07	 D0:9	 D1:134	 D2:62	 T:nan


5.51	 A0:16	 A1:210	 A2:48	 T:nan

5.51	 B0:69	 B1:140	 B2:60	 T:nan

