3.33	 D0:11	 D1:130	 D2:72	 T:nan

3.62	 A0:22	 A1:196	 A2:57	 T:nan
3.51	 B0:78	 B1:135	 B2:59	 T:nan
3.87	 C0:16	 C1:60	 C2:16	 T:22.20
3.40	 D0:11	 D1:130	 D2:73	 T:nan

3.69	 A0:22	 A1:197	 A2:57	 T:nan
3.58	 B0:79	 B1:135	 B2:59	 T:nan
3.95	 C0:17	 C1:59	 C2:16	 T:22.20
3.47	 D0:11	 D1:131	 D2:72	 T:nan

3.76	 A0:22	 A1:196	 A2:57	 T:nan
3.65	 B0:78	 B1:135	 B2:59	 T:nan
4.02	 C0:17	 C1:59	 C2:16	 T:22.20
3.54	 D0:11	 D1:130	 D2:72	 T:nan

3.83	 A0:22	 A1:197	 A2:57	 T:nan
3.73	 B0:78	 B1:135	 B2:59	 T:nan
4.10	 C0:18	 C1:60	 C2:17	 T:22.20
3.62	 D0:12	 D1:131	 D2:72	 T:nan

3.91	 A0:23	 A1:196	 A2:58	 T:nan
3.80	 B0:78	 B1:135	 B2:59	 T:nan
4.17	 C0:17	 C1:59	 C2:16	 T:22.20
3.69	 D0:11	 D1:131	 D2:72	 T:nan

3.98	 A0:22	 A1:197	 A2:57	 T:nan
3.87	 B0:78	 B1:135	 B2:59	 T:nan
4.25	 C0:18	 C1:59	 C2:16	 T:22.20
3.76	 D0:11	 D1:131	 D2:72	 T:nan

4.07	 A0:22	 A1:196	 A2:57	 T:nan
3.94	 B0:78	 B1:135	 B2:59	 T:nan
4.32	 C0:17	 C1:59	 C2:17	 T:22.20
3.83	 D0:11	 D1:131	 D2:72	 T:nan

4.13	 A0:22	 A1:196	 A2:57	 T:nan
4.02	 B0:78	 B1:135	 B2:59	 T:nan
4.40	 C0:17	 C1:59	 C2:16	 T:22.20
3.91	 D0:11	 D1:131	 D2:72	 T:nan

4.20	 A0:22	 A1:196	 A2:57	 T:nan
4.09	 B0:78	 B1:135	 B2:59	 T:nan
4.47	 C0:17	 C1:60	 C2:16	 T:22.20
3.98	 D0:11	 D1:130	 D2:72	 T:nan

4.27	 A0:22	 A1:196	 A2:57	 T:nan
4.16	 B0:78	 B1:135	 B2:59	 T:nan
4.55	 C0:17	 C1:59	 C2:16	 T:22.20
4.07	 D0:11	 D1:131	 D2:73	 T:nan

4.34	 A0:22	 A1:196	 A2:57	 T:nan
4.24	 B0:78	 B1:135	 B2:59	 T:nan
4.62	 C0:17	 C1:60	 C2:16	 T:22.20
4.13	 D0:11	 D1:131	 D2:73	 T:nan

4.42	 A0:22	 A1:196	 A2:57	 T:nan
4.31	 B0:78	 B1:135	 B2:59	 T:nan
4.70	 C0:17	 C1:60	 C2:16	 T:22.20
4.20	 D0:11	 D1:130	 D2:73	 T:nan

4.49	 A0:23	 A1:196	 A2:57	 T:nan
4.38	 B0:79	 B1:135	 B2:59	 T:nan
4.77	 C0:17	 C1:59	 C2:16	 T:22.20
4.27	 D0:12	 D1:131	 D2:72	 T:nan

4.56	 A0:23	 A1:196	 A2:57	 T:nan
4.45	 B0:78	 B1:135	 B2:59	 T:nan
4.84	 C0:17	 C1:59	 C2:16	 T:22.20
4.34	 D0:11	 D1:130	 D2:72	 T:nan

4.64	 A0:22	 A1:197	 A2:57	 T:nan
4.53	 B0:78	 B1:135	 B2:59	 T:nan
4.92	 C0:18	 C1:59	 C2:16	 T:22.20
4.42	 D0:11	 D1:131	 D2:73	 T:nan

4.71	 A0:22	 A1:196	 A2:57	 T:nan
4.60	 B0:78	 B1:135	 B2:59	 T:nan
5.00	 C0:17	 C1:59	 C2:16	 T:22.20
4.49	 D0:12	 D1:130	 D2:73	 T:nan

4.78	 A0:22	 A1:196	 A2:57	 T:nan
4.67	 B0:79	 B1:135	 B2:59	 T:nan
5.07	 C0:16	 C1:60	 C2:16	 T:22.20
4.56	 D0:11	 D1:131	 D2:73	 T:nan

4.85	 A0:22	 A1:196	 A2:57	 T:nan
4.75	 B0:78	 B1:135	 B2:59	 T:nan
5.14	 C0:18	 C1:60	 C2:16	 T:22.20
4.64	 D0:12	 D1:131	 D2:73	 T:nan

4.93	 A0:22	 A1:196	 A2:57	 T:nan
4.82	 B0:79	 B1:135	 B2:59	 T:nan
5.22	 C0:18	 C1:59	 C2:16	 T:22.20
4.71	 D0:12	 D1:130	 D2:73	 T:nan

5.00	 A0:23	 A1:196	 A2:57	 T:nan
4.89	 B0:79	 B1:135	 B2:59	 T:nan
5.29	 C0:17	 C1:59	 C2:16	 T:22.20
4.78	 D0:12	 D1:131	 D2:73	 T:nan

5.07	 A0:22	 A1:196	 A2:57	 T:nan
4.96	 B0:79	 B1:135	 B2:59	 T:nan
5.37	 C0:17	 C1:59	 C2:16	 T:22.20
4.85	 D0:11	 D1:131	 D2:73	 T:nan

5.15	 A0:22	 A1:196	 A2:57	 T:nan
5.04	 B0:79	 B1:135	 B2:59	 T:nan
5.44	 C0:17	 C1:59	 C2:16	 T:22.20
4.93	 D0:11	 D1:130	 D2:73	 T:nan

5.22	 A0:22	 A1:196	 A2:57	 T:nan
5.11	 B0:79	 B1:135	 B2:59	 T:nan
5.52	 C0:17	 C1:60	 C2:16	 T:22.20
5.00	 D0:11	 D1:131	 D2:73	 T:nan

5.29	 A0:22	 A1:197	 A2:57	 T:nan
5.18	 B0:79	 B1:135	 B2:59	 T:nan
5.59	 C0:18	 C1:60	 C2:16	 T:22.20
5.07	 D0:11	 D1:131	 D2:73	 T:nan

5.36	 A0:22	 A1:196	 A2:57	 T:nan
5.26	 B0:79	 B1:135	 B2:59	 T:nan
5.67	 C0:17	 C1:59	 C2:16	 T:22.20
5.15	 D0:11	 D1:131	 D2:73	 T:nan

5.44	 A0:23	 A1:196	 A2:57	 T:nan
