3.40	 A0:21	 A1:198	 A2:57	 T:nan
3.40	 B0:80	 B1:135	 B2:60	 T:nan
3.50	 C0:25	 C1:59	 C2:16	 T:22.60
3.36	 D0:13	 D1:130	 D2:64	 T:nan

3.47	 A0:22	 A1:198	 A2:57	 T:nan
3.47	 B0:80	 B1:136	 B2:60	 T:nan
3.57	 C0:26	 C1:59	 C2:16	 T:22.60
3.43	 D0:13	 D1:130	 D2:64	 T:nan

3.54	 A0:21	 A1:198	 A2:57	 T:nan
3.54	 B0:80	 B1:136	 B2:60	 T:nan
3.65	 C0:26	 C1:60	 C2:16	 T:22.60
3.51	 D0:13	 D1:130	 D2:64	 T:nan

3.62	 A0:22	 A1:198	 A2:57	 T:nan
3.62	 B0:80	 B1:136	 B2:60	 T:nan
3.72	 C0:25	 C1:60	 C2:17	 T:22.60
3.58	 D0:13	 D1:130	 D2:64	 T:nan

3.69	 A0:21	 A1:198	 A2:57	 T:nan
3.69	 B0:80	 B1:135	 B2:60	 T:nan
3.80	 C0:26	 C1:59	 C2:17	 T:22.60
3.65	 D0:13	 D1:130	 D2:64	 T:nan

3.76	 A0:21	 A1:199	 A2:56	 T:nan
3.76	 B0:80	 B1:136	 B2:60	 T:nan
3.87	 C0:26	 C1:59	 C2:16	 T:22.60
3.73	 D0:13	 D1:130	 D2:64	 T:nan

3.83	 A0:21	 A1:199	 A2:57	 T:nan
3.83	 B0:80	 B1:136	 B2:60	 T:nan
3.95	 C0:26	 C1:60	 C2:16	 T:22.60
3.80	 D0:13	 D1:130	 D2:64	 T:nan

3.91	 A0:22	 A1:198	 A2:56	 T:nan
3.91	 B0:80	 B1:136	 B2:60	 T:nan
4.02	 C0:25	 C1:59	 C2:16	 T:22.60
3.87	 D0:12	 D1:130	 D2:64	 T:nan

3.98	 A0:22	 A1:198	 A2:57	 T:nan
3.98	 B0:80	 B1:136	 B2:60	 T:nan
4.10	 C0:26	 C1:59	 C2:17	 T:22.60
3.94	 D0:13	 D1:130	 D2:64	 T:nan

4.07	 A0:21	 A1:198	 A2:57	 T:nan
4.07	 B0:80	 B1:136	 B2:60	 T:nan
4.17	 C0:25	 C1:60	 C2:16	 T:22.60
4.02	 D0:13	 D1:130	 D2:64	 T:nan

4.13	 A0:21	 A1:198	 A2:56	 T:nan
4.13	 B0:80	 B1:136	 B2:60	 T:nan
4.25	 C0:25	 C1:59	 C2:17	 T:22.60
4.09	 D0:13	 D1:130	 D2:64	 T:nan

4.20	 A0:21	 A1:198	 A2:57	 T:nan
4.20	 B0:80	 B1:136	 B2:60	 T:nan
4.32	 C0:26	 C1:59	 C2:17	 T:22.60
4.16	 D0:13	 D1:130	 D2:64	 T:nan

4.27	 A0:21	 A1:198	 A2:57	 T:nan
4.27	 B0:80	 B1:136	 B2:60	 T:nan
4.40	 C0:25	 C1:60	 C2:17	 T:22.60
4.24	 D0:13	 D1:130	 D2:64	 T:nan

4.34	 A0:22	 A1:198	 A2:56	 T:nan
4.34	 B0:81	 B1:136	 B2:60	 T:nan
4.47	 C0:26	 C1:60	 C2:16	 T:22.60
4.31	 D0:13	 D1:130	 D2:64	 T:nan

4.42	 A0:21	 A1:198	 A2:56	 T:nan
4.42	 B0:80	 B1:136	 B2:60	 T:nan
4.55	 C0:26	 C1:60	 C2:17	 T:22.60
4.38	 D0:13	 D1:130	 D2:64	 T:nan

4.49	 A0:22	 A1:198	 A2:57	 T:nan
4.49	 B0:80	 B1:136	 B2:60	 T:nan
4.62	 C0:25	 C1:59	 C2:17	 T:22.60
4.45	 D0:13	 D1:130	 D2:64	 T:nan

4.56	 A0:22	 A1:198	 A2:57	 T:nan
4.56	 B0:80	 B1:136	 B2:60	 T:nan
4.70	 C0:25	 C1:59	 C2:17	 T:22.60
4.53	 D0:13	 D1:130	 D2:64	 T:nan

4.64	 A0:21	 A1:198	 A2:57	 T:nan
4.64	 B0:80	 B1:136	 B2:60	 T:nan
4.77	 C0:26	 C1:59	 C2:17	 T:22.60
4.60	 D0:12	 D1:130	 D2:64	 T:nan

4.71	 A0:21	 A1:198	 A2:57	 T:nan
4.71	 B0:80	 B1:135	 B2:60	 T:nan
4.84	 C0:26	 C1:59	 C2:17	 T:22.60
4.67	 D0:13	 D1:130	 D2:64	 T:nan

4.78	 A0:21	 A1:198	 A2:56	 T:nan
4.78	 B0:80	 B1:135	 B2:60	 T:nan
4.92	 C0:26	 C1:59	 C2:17	 T:22.60
4.75	 D0:13	 D1:130	 D2:64	 T:nan

4.85	 A0:21	 A1:198	 A2:56	 T:nan
4.85	 B0:80	 B1:135	 B2:60	 T:nan
4.99	 C0:26	 C1:59	 C2:16	 T:22.60
4.82	 D0:13	 D1:130	 D2:64	 T:nan

4.93	 A0:22	 A1:198	 A2:57	 T:nan
4.93	 B0:80	 B1:136	 B2:60	 T:nan
5.07	 C0:26	 C1:60	 C2:17	 T:22.60
4.89	 D0:13	 D1:130	 D2:64	 T:nan

5.00	 A0:21	 A1:198	 A2:57	 T:nan
5.00	 B0:80	 B1:136	 B2:60	 T:nan
5.14	 C0:25	 C1:59	 C2:17	 T:22.60
4.96	 D0:13	 D1:130	 D2:64	 T:nan

5.07	 A0:21	 A1:198	 A2:56	 T:nan
5.07	 B0:80	 B1:136	 B2:60	 T:nan
5.22	 C0:25	 C1:59	 C2:16	 T:22.60
5.04	 D0:13	 D1:130	 D2:64	 T:nan

5.15	 A0:21	 A1:198	 A2:56	 T:nan
5.15	 B0:80	 B1:135	 B2:60	 T:nan
5.29	 C0:27	 C1:59	 C2:16	 T:22.60
5.11	 D0:13	 D1:131	 D2:64	 T:nan

5.22	 A0:21	 A1:198	 A2:57	 T:nan
5.22	 B0:80	 B1:136	 B2:60	 T:nan
