1.10	 A T:21.80
3.73	 B0:81	 B1:154	 B2:85	 T:nan
3.95	 C0:16	 C1:75	 C2:18	 T:21.80
3.83	 D0:13	 D1:215	 D2:84	 T:nan

3.94	 A0:28	 A1:185	 A2:68	 T:21.80
3.80	 B0:81	 B1:154	 B2:85	 T:nan
4.02	 C0:16	 C1:75	 C2:19	 T:21.80
3.91	 D0:13	 D1:216	 D2:84	 T:nan

4.03	 A0:28	 A1:185	 A2:68	 T:21.80
3.87	 B0:81	 B1:154	 B2:85	 T:nan
4.10	 C0:16	 C1:75	 C2:19	 T:21.80
3.98	 D0:13	 D1:215	 D2:84	 T:nan

4.09	 A0:27	 A1:185	 A2:68	 T:21.80
3.94	 B0:81	 B1:154	 B2:85	 T:nan
4.17	 C0:16	 C1:75	 C2:19	 T:21.80
4.07	 D0:13	 D1:215	 D2:84	 T:nan

4.17	 A0:27	 A1:185	 A2:68	 T:21.80
4.02	 B0:81	 B1:154	 B2:85	 T:nan
4.25	 C0:16	 C1:75	 C2:19	 T:21.80
4.13	 D0:13	 D1:215	 D2:84	 T:nan

4.25	 A0:27	 A1:185	 A2:68	 T:21.80
4.09	 B0:81	 B1:154	 B2:85	 T:nan
4.32	 C0:16	 C1:75	 C2:18	 T:21.80
4.20	 D0:13	 D1:215	 D2:84	 T:nan

4.32	 A0:27	 A1:185	 A2:68	 T:21.80
4.16	 B0:81	 B1:154	 B2:85	 T:nan
4.40	 C0:16	 C1:75	 C2:19	 T:21.80
4.27	 D0:13	 D1:215	 D2:84	 T:nan

4.40	 A0:27	 A1:185	 A2:68	 T:21.80
4.23	 B0:81	 B1:154	 B2:86	 T:nan
4.47	 C0:16	 C1:75	 C2:18	 T:21.80
4.34	 D0:13	 D1:215	 D2:84	 T:nan

4.48	 A0:27	 A1:185	 A2:68	 T:21.80
4.31	 B0:81	 B1:153	 B2:85	 T:nan
4.55	 C0:16	 C1:75	 C2:19	 T:21.80
4.42	 D0:13	 D1:215	 D2:84	 T:nan

4.56	 A0:27	 A1:185	 A2:68	 T:21.80
4.38	 B0:81	 B1:154	 B2:85	 T:nan
4.62	 C0:16	 C1:75	 C2:18	 T:21.80
4.49	 D0:13	 D1:215	 D2:84	 T:nan

4.63	 A0:27	 A1:185	 A2:68	 T:21.80
4.45	 B0:81	 B1:154	 B2:85	 T:nan
4.70	 C0:16	 C1:75	 C2:19	 T:21.80
4.56	 D0:13	 D1:215	 D2:84	 T:nan

4.71	 A0:27	 A1:185	 A2:68	 T:21.80
4.53	 B0:81	 B1:154	 B2:85	 T:nan
4.77	 C0:16	 C1:75	 C2:19	 T:21.80
4.64	 D0:14	 D1:215	 D2:84	 T:nan

4.79	 A0:28	 A1:185	 A2:68	 T:21.80
4.60	 B0:81	 B1:154	 B2:85	 T:nan
4.84	 C0:16	 C1:75	 C2:18	 T:21.80
4.71	 D0:13	 D1:215	 D2:84	 T:nan

4.86	 A0:27	 A1:185	 A2:68	 T:21.80
4.67	 B0:81	 B1:154	 B2:85	 T:nan
4.92	 C0:16	 C1:75	 C2:18	 T:21.80
4.78	 D0:13	 D1:215	 D2:84	 T:nan

4.94	 A0:27	 A1:185	 A2:68	 T:21.80
4.74	 B0:81	 B1:154	 B2:85	 T:nan
5.00	 C0:16	 C1:75	 C2:19	 T:21.80
4.85	 D0:14	 D1:215	 D2:84	 T:nan

5.02	 A0:27	 A1:185	 A2:68	 T:21.80
4.82	 B0:81	 B1:154	 B2:85	 T:nan
5.07	 C0:16	 C1:75	 C2:19	 T:21.80
4.93	 D0:13	 D1:215	 D2:83	 T:nan

5.09	 A0:27	 A1:185	 A2:68	 T:21.80
4.89	 B0:81	 B1:153	 B2:85	 T:nan
5.14	 C0:16	 C1:75	 C2:19	 T:21.80
5.00	 D0:13	 D1:215	 D2:83	 T:nan

5.17	 A0:27	 A1:185	 A2:68	 T:21.80
4.96	 B0:81	 B1:154	 B2:85	 T:nan
5.22	 C0:16	 C1:75	 C2:19	 T:21.80
5.07	 D0:13	 D1:215	 D2:84	 T:nan

5.25	 A0:27	 A1:185	 A2:68	 T:21.80
5.03	 B0:81	 B1:154	 B2:85	 T:nan
5.30	 C0:16	 C1:75	 C2:19	 T:21.80
5.15	 D0:14	 D1:215	 D2:83	 T:nan

5.32	 A0:27	 A1:185	 A2:68	 T:21.80
5.11	 B0:81	 B1:154	 B2:85	 T:nan
5.37	 C0:16	 C1:75	 C2:19	 T:21.80
5.22	 D0:13	 D1:215	 D2:83	 T:nan

5.40	 A0:28	 A1:185	 A2:68	 T:21.80
5.18	 B0:81	 B1:154	 B2:85	 T:nan
5.44	 C0:16	 C1:75	 C2:19	 T:21.80
5.29	 D0:13	 D1:215	 D2:83	 T:nan

5.48	 A0:28	 A1:185	 A2:68	 T:21.80
5.25	 B0:81	 B1:154	 B2:85	 T:nan
5.52	 C0:16	 C1:75	 C2:19	 T:21.80
5.36	 D0:13	 D1:215	 D2:83	 T:nan

5.56	 A0:28	 A1:185	 A2:68	 T:21.80
5.33	 B0:81	 B1:153	 B2:85	 T:nan
5.59	 C0:16	 C1:75	 C2:18	 T:21.80
5.44	 D0:13	 D1:216	 D2:84	 T:nan

5.63	 A0:27	 A1:185	 A2:68	 T:21.80
5.40	 B0:81	 B1:154	 B2:85	 T:nan
5.67	 C0:16	 C1:75	 C2:18	 T:21.80
5.51	 D0:13	 D1:215	 D2:83	 T:nan

5.71	 A0:28	 A1:185	 A2:68	 T:21.80
5.47	 B0:81	 B1:153	 B2:85	 T:nan
5.74	 C0:16	 C1:75	 C2:18	 T:21.80
5.58	 D0:13	 D1:215	 D2:83	 T:nan

5.79	 A0:27	 A1:185	 A2:68	 T:21.80
5.54	 B0:81	 B1:154	 B2:85	 T:nan
5.82	 C0:16	 C1:75	 C2:19	 T:21.80
5.66	 D0:13	 D1:215	 D2:83	 T:nan

5.86	 A0:27	 A1:185	 A2:68	 T:21.80
5.62	 B0:81	 B1:154	 B2:84	 T:nan
5.89	 C0:16	 C1:75	 C2:19	 T:21.80
5.73	 D0:13	 D1:215	 D2:83	 T:nan

5.94	 A0:27	 A1:185	 A2:68	 T:21.80
5.69	 B0:81	 B1:153	 B2:85	 T:nan
5.97	 C0:16	 C1:75	 C2:19	 T:21.80
5.80	 D0:13	 D1:215	 D2:83	 T:nan

6.03	 A0:27	 A1:185	 A2:68	 T:21.80
5.76	 B0:81	 B1:154	 B2:85	 T:nan
6.04	 C0:16	 C1:75	 C2:19	 T:21.80
5.87	 D0:13	 D1:215	 D2:83	 T:nan

6.09	 A0:27	 A1:185	 A2:68	 T:21.80
5.84	 B0:81	 B1:153	 B2:84	 T:nan
6.12	 C0:16	 C1:75	 C2:18	 T:21.80
5.95	 D0:13	 D1:215	 D2:83	 T:nan

6.17	 A0:27	 A1:185	 A2:68	 T:21.80
5.91	 B0:81	 B1:154	 B2:85	 T:nan
6.19	 C0:16	 C1:75	 C2:19	 T:21.80
6.02	 D0:13	 D1:215	 D2:83	 T:nan

6.25	 A0:27	 A1:185	 A2:68	 T:21.80
5.98	 B0:81	 B1:154	 B2:84	 T:nan
6.27	 C0:16	 C1:74	 C2:19	 T:21.80
6.09	 D0:14	 D1:215	 D2:83	 T:nan

6.32	 A0:27	 A1:185	 A2:68	 T:21.80
