,time_A,A0,A1,A2,time_B,B0,B1,B2,time_C,C0,C1,C2,time_D,D0,D1,D2
136,4.04,50,380,110,4.19,143,289,105,4.04,55,143,374,4.04,34,258,108
137,4.07,50,380,110,4.22,143,289,105,4.07,55,143,373,4.07,34,258,108
138,4.10,50,380,110,4.25,143,289,105,4.10,55,143,374,4.10,35,258,108
139,4.13,50,380,110,4.28,143,289,105,4.13,55,143,374,4.13,34,258,108
140,4.16,50,380,110,4.31,143,289,105,4.16,55,143,374,4.16,34,258,108
141,4.19,50,380,110,4.34,143,289,105,4.19,55,143,373,4.19,34,258,108
142,4.23,50,380,110,4.37,143,289,105,4.23,55,142,374,4.23,35,258,108
143,4.25,50,380,110,4.40,143,289,105,4.25,55,143,374,4.25,34,258,108
144,4.28,50,380,110,4.43,143,289,105,4.28,55,143,374,4.28,34,258,108
145,4.32,50,380,110,4.47,143,289,105,4.32,55,143,374,4.32,34,258,108
146,4.34,50,380,109,4.50,143,289,105,4.34,55,143,373,4.34,34,258,108
147,4.38,50,380,110,4.53,143,289,105,4.38,55,143,374,4.38,35,258,108
148,4.41,50,380,110,4.56,143,289,105,4.41,55,143,374,4.41,34,258,108
149,4.44,50,380,109,4.59,143,289,105,4.44,55,142,374,4.44,34,258,108
150,4.47,50,380,110,4.62,143,289,105,4.47,55,143,374,4.47,35,258,108
151,4.50,50,380,110,4.65,143,289,105,4.50,55,143,373,4.50,34,258,108
152,4.53,50,380,110,4.68,143,289,105,4.53,55,143,373,4.53,34,258,108
153,4.56,50,380,110,4.72,143,289,105,4.56,55,143,374,4.56,34,258,108
154,4.59,50,380,109,4.75,143,289,105,4.59,55,143,373,4.59,34,258,108
155,4.62,50,380,109,4.78,143,289,105,4.62,55,143,374,4.62,34,258,108
156,4.65,50,380,110,4.81,143,289,105,4.65,55,143,374,4.65,34,258,108
157,4.68,50,380,110,4.84,143,289,106,4.68,55,143,374,4.68,34,258,108
158,4.71,50,380,109,4.87,143,289,105,4.71,55,143,374,4.71,34,258,108
159,4.74,50,380,109,4.90,143,289,105,4.74,55,142,373,4.74,34,258,108
160,4.77,50,380,110,4.93,143,289,105,4.77,55,142,373,4.77,34,258,108
161,4.80,50,380,110,4.97,143,289,105,4.80,55,143,373,4.80,34,258,108
162,4.83,50,380,110,5.00,143,289,105,4.83,55,143,374,4.83,34,258,108
163,4.86,50,380,110,5.03,143,289,106,4.86,55,143,374,4.86,34,258,108
164,4.89,50,380,110,5.06,143,289,105,4.89,55,143,373,4.89,34,258,108
165,4.92,50,380,109,5.09,143,289,105,4.92,55,143,373,4.92,34,258,108
166,4.95,50,380,110,5.12,143,289,105,4.95,55,143,373,4.95,34,258,108
167,4.98,50,380,109,5.15,143,289,106,4.98,55,143,373,4.98,34,258,108
168,5.01,50,380,110,5.18,143,289,105,5.01,55,143,373,5.01,34,258,108
169,5.04,50,380,109,5.22,143,289,105,5.04,55,143,373,5.04,34,258,108
170,5.07,50,380,110,5.25,143,289,105,5.07,55,143,373,5.07,34,258,108
171,5.10,50,380,109,5.28,143,289,105,5.10,55,143,373,5.10,34,258,108
172,5.13,50,380,110,5.31,143,289,105,5.13,55,143,373,5.13,34,258,108
173,5.16,50,380,110,5.34,143,289,105,5.16,55,142,373,5.16,34,258,108
174,5.19,50,380,109,5.37,143,289,105,5.19,55,143,374,5.19,34,258,108
175,5.22,50,380,110,5.40,143,289,105,5.22,55,142,373,5.22,34,258,108
176,5.25,50,380,109,5.43,143,289,105,5.25,55,143,373,5.25,35,258,108
