,time_A,A0,A1,A2,time_B,B0,B1,B2,time_C,C0,C1,C2,time_C,C0,C1,C2
152,4.53,44,357,101,4.68,160,324,114,4.53,58,141,360,4.53,58,141,360
153,4.56,44,357,102,4.72,160,323,114,4.56,58,141,360,4.56,58,141,360
154,4.59,44,357,101,4.75,160,323,114,4.59,58,140,360,4.59,58,140,360
155,4.62,44,357,102,4.78,160,323,114,4.62,58,140,360,4.62,58,140,360
156,4.65,44,357,102,4.81,160,323,114,4.65,59,140,360,4.65,59,140,360
157,4.68,44,357,101,4.84,160,324,114,4.68,58,141,360,4.68,58,141,360
158,4.71,44,357,101,4.87,160,323,114,4.71,58,141,360,4.71,58,141,360
159,4.74,44,357,101,4.90,160,323,115,4.74,58,140,360,4.74,58,140,360
160,4.77,44,357,102,4.93,160,323,114,4.77,58,141,360,4.77,58,141,360
161,4.80,44,357,101,4.97,160,323,114,4.80,58,140,360,4.80,58,140,360
162,4.83,44,357,101,5.00,160,324,115,4.83,58,140,360,4.83,58,140,360
163,4.86,44,357,101,5.03,160,323,114,4.86,58,141,360,4.86,58,141,360
164,4.89,44,357,101,5.06,160,324,114,4.89,58,140,360,4.89,58,140,360
165,4.92,44,357,101,5.09,160,323,114,4.92,58,140,360,4.92,58,140,360
166,4.95,44,357,101,5.12,160,323,114,4.95,58,140,360,4.95,58,140,360
167,4.98,44,357,102,5.15,160,323,114,4.98,58,140,360,4.98,58,140,360
168,5.01,44,357,101,5.18,160,324,114,5.01,58,140,360,5.01,58,140,360
169,5.04,44,357,101,5.22,160,323,114,5.04,58,141,360,5.04,58,141,360
170,5.07,44,357,102,5.25,160,323,114,5.07,58,140,360,5.07,58,140,360
171,5.10,44,357,102,5.28,160,323,114,5.10,58,140,360,5.10,58,140,360
172,5.13,44,357,102,5.31,160,323,115,5.13,58,140,360,5.13,58,140,360
173,5.16,44,358,101,5.34,160,324,114,5.16,58,140,360,5.16,58,140,360
174,5.19,44,358,102,5.37,160,323,114,5.19,58,141,360,5.19,58,141,360
175,5.22,44,358,102,5.40,160,324,114,5.22,58,140,360,5.22,58,140,360
176,5.25,44,358,101,5.43,160,323,114,5.25,58,140,360,5.25,58,140,360
177,5.28,44,358,102,5.46,160,323,114,5.28,58,140,360,5.28,58,140,360
178,5.31,44,358,101,5.50,160,323,114,5.31,58,140,360,5.31,58,140,360
179,5.34,44,358,102,5.53,160,323,114,5.34,58,141,360,5.34,58,141,360
180,5.37,44,358,102,5.56,160,323,114,5.37,58,140,360,5.37,58,140,360
181,5.40,44,358,101,5.59,160,323,114,5.40,58,140,360,5.40,58,140,360
182,5.43,44,358,101,5.62,160,323,114,5.43,58,140,360,5.43,58,140,360
183,5.46,44,358,102,5.65,160,323,114,5.46,58,140,360,5.46,58,140,360
184,5.49,44,358,101,5.68,160,323,115,5.49,58,140,360,5.49,58,140,360
185,5.52,45,358,102,5.71,160,324,114,5.52,58,140,360,5.52,58,140,360
186,5.55,45,358,102,5.75,160,323,114,5.55,58,140,360,5.55,58,140,360
187,5.58,44,358,102,5.78,160,324,114,5.58,58,140,360,5.58,58,140,360
188,5.61,45,358,101,5.81,160,323,114,5.61,58,140,360,5.61,58,140,360
189,5.64,44,358,101,5.84,160,324,115,5.64,58,141,360,5.64,58,141,360
190,5.67,45,358,102,5.87,160,323,114,5.67,58,140,360,5.67,58,140,360
191,5.70,45,358,102,5.90,160,323,115,5.70,58,140,360,5.70,58,140,360
192,5.73,45,358,102,5.93,160,323,114,5.73,58,141,360,5.73,58,141,360
193,5.76,44,358,102,5.96,160,324,114,5.76,58,140,360,5.76,58,140,360
194,5.79,45,358,102,5.99,160,323,114,5.79,58,141,360,5.79,58,141,360
195,5.82,45,358,102,6.03,160,323,114,5.82,58,140,360,5.82,58,140,360
196,5.85,45,358,102,6.06,160,324,114,5.85,58,140,360,5.85,58,140,360
197,5.88,45,358,102,6.09,160,323,114,5.88,58,140,360,5.88,58,140,360
