5.07	 A0:27	 A1:178	 A2:67	 T:nan
5.36	 B0:85	 B1:128	 B2:93	 T:nan
5.48	 C0:17	 C1:74	 C2:19	 T:23.00
5.67	 D0:15	 D1:191	 D2:79	 T:23.00

5.15	 A0:27	 A1:178	 A2:68	 T:nan
5.44	 B0:85	 B1:128	 B2:96	 T:nan
5.56	 C0:17	 C1:74	 C2:19	 T:23.00
5.75	 D0:15	 D1:191	 D2:79	 T:23.00

5.22	 A0:28	 A1:178	 A2:67	 T:nan
5.51	 B0:86	 B1:128	 B2:96	 T:nan
5.63	 C0:17	 C1:74	 C2:19	 T:23.00
5.83	 D0:15	 D1:191	 D2:79	 T:23.00

5.29	 A0:27	 A1:178	 A2:67	 T:nan
5.58	 B0:85	 B1:128	 B2:94	 T:nan
5.71	 C0:17	 C1:74	 C2:19	 T:23.00
5.90	 D0:15	 D1:191	 D2:79	 T:23.00

5.36	 A0:27	 A1:178	 A2:67	 T:nan
5.66	 B0:85	 B1:128	 B2:95	 T:nan
5.78	 C0:17	 C1:74	 C2:19	 T:23.00
5.98	 D0:15	 D1:191	 D2:79	 T:22.80

5.44	 A0:27	 A1:178	 A2:67	 T:nan
5.73	 B0:85	 B1:128	 B2:95	 T:nan
5.86	 C0:17	 C1:74	 C2:19	 T:23.00
6.05	 D0:15	 D1:191	 D2:79	 T:22.80

5.51	 A0:27	 A1:178	 A2:67	 T:nan
5.80	 B0:86	 B1:128	 B2:96	 T:nan
5.93	 C0:17	 C1:74	 C2:19	 T:23.00
6.13	 D0:15	 D1:191	 D2:79	 T:22.80

5.58	 A0:27	 A1:178	 A2:67	 T:nan
5.87	 B0:86	 B1:128	 B2:95	 T:nan
6.01	 C0:17	 C1:74	 C2:19	 T:23.00
6.21	 D0:15	 D1:191	 D2:80	 T:22.80

5.66	 A0:27	 A1:178	 A2:67	 T:nan
5.95	 B0:86	 B1:128	 B2:94	 T:nan
6.09	 C0:17	 C1:74	 C2:19	 T:23.00
6.29	 D0:15	 D1:191	 D2:79	 T:22.80

5.73	 A0:27	 A1:178	 A2:67	 T:nan
6.02	 B0:86	 B1:128	 B2:96	 T:nan
6.15	 C0:17	 C1:74	 C2:19	 T:23.00
6.36	 D0:15	 D1:191	 D2:80	 T:22.80

5.80	 A0:27	 A1:178	 A2:67	 T:nan
6.09	 B0:86	 B1:128	 B2:94	 T:nan
6.23	 C0:17	 C1:74	 C2:19	 T:23.00
6.44	 D0:15	 D1:191	 D2:79	 T:22.80

5.87	 A0:27	 A1:178	 A2:68	 T:nan
6.16	 B0:86	 B1:128	 B2:93	 T:nan
6.30	 C0:17	 C1:74	 C2:19	 T:23.00
6.52	 D0:15	 D1:191	 D2:79	 T:22.80

5.95	 A0:27	 A1:178	 A2:67	 T:nan
6.24	 B0:85	 B1:128	 B2:93	 T:nan
6.38	 C0:17	 C1:74	 C2:19	 T:23.00
6.59	 D0:15	 D1:191	 D2:80	 T:22.80

6.02	 A0:27	 A1:178	 A2:67	 T:nan
6.31	 B0:86	 B1:128	 B2:95	 T:nan
6.45	 C0:17	 C1:74	 C2:19	 T:23.00
6.67	 D0:15	 D1:191	 D2:79	 T:22.80

6.09	 A0:27	 A1:179	 A2:67	 T:nan
6.38	 B0:85	 B1:128	 B2:94	 T:nan
6.53	 C0:17	 C1:74	 C2:19	 T:23.00
6.75	 D0:15	 D1:191	 D2:79	 T:22.80

6.16	 A0:27	 A1:178	 A2:67	 T:nan
6.45	 B0:86	 B1:128	 B2:94	 T:nan
6.60	 C0:17	 C1:74	 C2:19	 T:23.00
6.82	 D0:15	 D1:191	 D2:80	 T:22.80

6.24	 A0:27	 A1:178	 A2:67	 T:nan
6.53	 B0:86	 B1:128	 B2:95	 T:nan
6.68	 C0:17	 C1:74	 C2:19	 T:23.00
6.90	 D0:15	 D1:191	 D2:80	 T:22.80

6.31	 A0:27	 A1:179	 A2:67	 T:nan
6.60	 B0:86	 B1:128	 B2:96	 T:nan
6.75	 C0:17	 C1:74	 C2:19	 T:23.00
6.98	 D0:15	 D1:191	 D2:79	 T:22.80

6.38	 A0:27	 A1:178	 A2:67	 T:nan
6.67	 B0:85	 B1:128	 B2:93	 T:nan
6.83	 C0:17	 C1:74	 C2:19	 T:23.00
7.06	 D0:15	 D1:191	 D2:80	 T:22.80

6.45	 A0:27	 A1:178	 A2:67	 T:nan
6.75	 B0:85	 B1:128	 B2:95	 T:nan
6.90	 C0:17	 C1:74	 C2:19	 T:23.00
7.13	 D0:15	 D1:192	 D2:80	 T:22.80

6.53	 A0:27	 A1:178	 A2:67	 T:nan
6.82	 B0:85	 B1:128	 B2:94	 T:nan
6.98	 C0:17	 C1:74	 C2:19	 T:23.00
7.21	 D0:15	 D1:191	 D2:79	 T:22.80

6.60	 A0:27	 A1:178	 A2:67	 T:nan
6.89	 B0:85	 B1:128	 B2:97	 T:nan
7.05	 C0:17	 C1:74	 C2:19	 T:23.00
7.29	 D0:15	 D1:191	 D2:79	 T:22.80

6.67	 A0:27	 A1:178	 A2:67	 T:nan
6.96	 B0:85	 B1:128	 B2:94	 T:nan
7.13	 C0:17	 C1:74	 C2:19	 T:23.00
7.36	 D0:15	 D1:191	 D2:79	 T:22.80

6.75	 A0:27	 A1:178	 A2:67	 T:nan
7.04	 B0:85	 B1:128	 B2:94	 T:nan
7.20	 C0:17	 C1:74	 C2:19	 T:23.00
7.44	 D0:15	 D1:191	 D2:79	 T:22.80

6.82	 A0:27	 A1:178	 A2:67	 T:nan
7.11	 B0:85	 B1:128	 B2:96	 T:nan
7.28	 C0:17	 C1:74	 C2:19	 T:23.00
7.52	 D0:14	 D1:191	 D2:79	 T:22.80

6.89	 A0:27	 A1:178	 A2:67	 T:nan
7.18	 B0:86	 B1:128	 B2:96	 T:nan
7.35	 C0:17	 C1:74	 C2:19	 T:23.00
7.60	 D0:15	 D1:191	 D2:79	 T:22.80

6.96	 A0:27	 A1:178	 A2:67	 T:nan
7.26	 B0:85	 B1:128	 B2:95	 T:nan
7.43	 C0:17	 C1:74	 C2:19	 T:23.00
7.67	 D0:15	 D1:191	 D2:79	 T:22.80

7.04	 A0:27	 A1:178	 A2:67	 T:nan
7.33	 B0:85	 B1:128	 B2:95	 T:nan
7.50	 C0:17	 C1:74	 C2:19	 T:23.00
7.75	 D0:15	 D1:191	 D2:79	 T:22.80

7.11	 A0:27	 A1:178	 A2:67	 T:nan
7.40	 B0:85	 B1:128	 B2:94	 T:nan
7.58	 C0:17	 C1:74	 C2:19	 T:23.00
